List 1,List 2,List 1|List 2
HIF1A,AC079922.3,ATP1A4
SLC10A1,HIATL1,ALOX5AP
BDKRB1,VNN2,DSTYK
APEX1,SUSD1,CCNA1
DHRS2,ZC2HC1A,EPHB2
GSS,INPP5B,IMPA1
ABHD12,PRKCQ-AS1,GSTM1
HNF4A,C15orf38,GSTM5
STK4,CLHC1,GSTM3
TUBB1,SYNM,NT5E
HRH3,NDUFA12,MDM2
SLCO4A1,KIF16B,EGLN1
CHRNA4,RBM43,GLUL
PTK6,CAST,LAMC1
CSNK2A1,ARL16,CYP27A1
MYLK2,RABEP1,GPNMB
PAK7,IQGAP2,BLK
LAMA1,LINC00667,IL11RA
RIOK3,MAU2,TUBB2A
STS,ATOH8,RIPK1
POLA1,TOMM34,TPMT
XIAP,CHPT1,PRCP
CACNA1F,DUSP18,CASP1
BMX,KIF1B,MAP2K5
PIM2,CTA-445C9.15,ADAM10
CDK16,GPN3,CYP1B1
CD40LG,ANXA5,SLC5A6
PORCN,NSFL1C,ITGAV
GLA,DSP,SLC40A1
HTR2A,UAP1L1,APH1B
MLNR,COQ5,PRKG2
STK24,HEATR6,ACVRL1
DHODH,WDR11,CELA1
MMP15,PPM1F,ITGB7
SLC7A5,MFSD9,ESR2
SLC6A2,NPHP3,ULK3
CD276,PDZK1IP1,NPC1
SGK3,LINS,MINK1
TRPA1,DUSP14,CSNK1D
IKBKB,FEZ2,DPP9
PLAT,UBE2D1,IFNAR1
STK3,BIN1,APP
SQLE,SNORD14A,AKT1
MAP4K1,USMG5,SLC47A1
AURKC,ARRDC4,SLC2A5
CCNE1,TTC39B,ALDH9A1
DYRK1B,ZSWIM7,MGST3
AKT2,SP140L,CTSK
TGFB1,PRMT2,ARNT
CEACAM5,HLA-F,IKBKE
SULT2A1,CCT8,TAF1A
ATP1A3,FAM167A,PARP1
GRIN2D,HBZ,PTPN7
MAST1,TOM1,CAMK2D
JAK3,CWF19L1,SRD5A1
PDE4C,ZNF502,MYLK4
ATP4A,KRT73,TPBG
MAG,ALS2,EPHA1
HAMP,PLA2G4C,ADHFE1
GSK3A,FAM198B,SIGMAR1
GRIK5,SNX19,PTGES
CDK6,TMEM107,GSTO1
PIK3CG,IGHMBP2,PAK1
PON3,CPEB4,NCAM1
MET,CERS5,GRIK4
EPHB6,WDR6,LATS2
GHRHR,MTRR,HNMT
HSPB1,CCDC167,PDCD4
CYP3A5,DCAF4,IL18
IMPDH1,LPIN2,EIF4E
SLC1A1,TSGA10,ADAM17
TGFBR1,DDX59,MBNL1
TESK1,CTC1,MERTK
CA9,ROGDI,ANGPT1
TYRP1,BRK1,PRKCA
TNKS2,HLA-DRB6,EPHB1
DKK1,SMG7,SLC7A7
CYP2C18,SCAPER,DHRS1
RPS6KB1,PRMT6,HPD
SLC6A4,RAPGEF1,HTR6
ALDH3A1,PAAF1,CDA
CCL2,PPFIA4,IFNAR2
HSD17B1,YBEY,IFNGR2
HDAC5,B3GALNT2,CBR1
MAP2K6,HEATR3,CBR3
DHRS7B,HSD17B12,PTGIR
GABRA4,MANEA,ICOSLG
GNRHR,SLC41A3,ITGB2
UGT2B10,PIGN,LMNA
SULT1E1,WARS,CCR5
MAPK10,TRIM37,ALOX15
IL2,TMEM140,RPS6KA4
SOD3,ABP1,NCSTN
CCND1,AKAP10,CTSS
CCKBR,TRPC4AP,SLC22A15
FOLR1,USP53,SLC15A2
BIRC2,CARD8,CXCR1
HIPK3,RP11-526I2.5,ADORA1
CALCA,NSUN4,TGFBR2
IL23A,INPP5E,NUAK2
CYP27B1,NUP43,CCR1
KRT18,NOP10,PRKCD
METAP2,C9orf135,GRM2
SCNN1A,PISD,IL15
VDR,KCTD10,ITGA2
IFNG,PRDX5,KLKB1
SLCO1B3,RPL23AP7,DAGLB
FRK,CKAP2,CTSB
PPARD,HPCAL4,NOS3
OPRM1,UBE2L3,ALDH7A1
MAPK14,CMBL,SYK
IL17A,CLN6,ALDH1A1
IL17F,KNSTRN,SLC18A2
ICK,SIGLEC14,PRKCB
GLP1R,THEM4,RRM1
GMNN,SMAD5,CA4
SLC22A2,ACTBP8,GPX4
PDE10A,EIF2B2,DHRS13
CCND3,ASGR2,CYP2S1
PRPF4B,TTC32,PTGDR
TTK,UGDH,GSTM4
SLC29A1,EPSTI1,CXCL10
LAMA4,STOX1,P2RY12
GHR,WDR48,IL8
HBEGF,USP36,SCN9A
HMGCR,RPL8,CD52
IL12B,CCSER2,FASN
GABRG2,ZADH2,MAP3K2
PDE4D,AF001548.5,SIK2
PRLR,CSGALNACT1,CHRNB1
IL4,FAN1,ANKK1
IL5,DNAJC15,ADORA2B
FGF1,ADAT1,MGMT
NR3C1,ATP6AP1L,CD14
CSNK1A1,NAGK,CDH2
PDGFRB,MXRA7,GSTA4
HRH2,TMEM80,GAA
GRK7,MUT,PTGER4
BCHE,RNF150,BSG
