List 1,List 2,List 1|List 2
SELP,WIPI1,DRAXIN
TNK1,IQGAP1,NTNG1
TRHR,AC079325.6,EXTL2
UGT8,ZMIZ2,ACP6
SLCO2A1,RP11-564C4.6,INHBB
SLC29A2,KLRG1,ANTXR2
BRSK2,ST6GALNAC6,COL6A3
CD248,TMEM97,POGLUT1
CA5A,PTPRN2,CD200R1
CHST2,PAQR8,DNASE1L3
CHST1,MED19,CXCL5
CCNE2,AL353791.1,RPN1
CHRNA7,RP11-420K14.2,LRPAP1
PNLIP,FAM43A,SCGB3A2
AURKAIP1,COG6,ERAP1
YES1,DNTTIP1,PI16
MC5R,RP11-20I23.13,HTRA1
GPX2,MCM6,LIPC
HSD11B2,TNNT1,FBN1
CLK2,ABRACL,CACNB3
MAP3K19,RP11-705O3.1,KIR3DL1
GRIN1,DTX2,SPINT2
TYMS,ERICH1,SERPINF2
POLE,ZDHHC4,LTBP3
ULK1,PHGDH,TNXB
RPS6KA3,IFITM3,IL7R
CD19,GRAMD4,THBS3
GBA,RP11-274B21.3,RNASE6
IMPDH2,CARD16,LILRA3
HTR3C,HERC2P10,PDGFD
HTR1A,ZYG11B,NEGR1
CD28,PPP1R16A,IL16
ERBB4,RYBP,CTSW
GAK,PPA1,EFEMP2
AURKB,GDI2,PODN
HTR1F,IGHV3-66,CD151
CYP11B2,GUSBP5,CA8
HTR1D,RP11-809O17.1,FCER1A
GRM8,MYBPH,ITLN1
TH,RNF14,FKRP
F2,DCAKD,FCRL6
PAK2,ATP6V0E2,AATK
CYP8B1,MBP,SGSH
SSTR2,PLD6,IFNL1
SLC47A2,ESRG,VMO1
CHRM4,CTA-217C2.1,COL18A1
S1PR5,MRVI1,FAM3B
AGTR2,JAZF1,CRELD2
MAP3K15,DGCR8,TMED9
OXTR,ENPP4,TCN2
CHRM2,SLC25A37,IFITM1
MAPK15,DLGAP1-AS1,CD300LF
MUC16,SPDYC,FCAR
UTS2R,ZNF696,HYAL3
SLC2A4,MKKS,LILRA5
GABRG3,FAM86C1,SEMA4D
LIPF,SLC22A18AS,SCGB1C1
LIMK2,TBC1D9B,ZP3
HCAR2,RRAGD,VSTM1
GSTA5,GSDMA,IL1RAP
LCK,SNX11,HIST1H3E
PTGDR2,NIPSNAP3A,SERPINA1
CHST6,TCEB3,SIRPA
EPHA10,GPD1L,CD247
RIPK4,ZNF143,CAPZA2
GRIN2A,GCDH,NCR3
SSTR3,ZSCAN9,HLA-C
CHEK2,RP4-756H11.3,HLA-G
SCN5A,C22orf43,KLRC2
PRKX,EXT2,IGLV4-60
KCNQ3,PFKP,DARC
ADRA2C,RP5-1154L15.2,LCAT
IRAK1,B4GALNT3,KLRK1
ALDH1A3,ERVK3-1,ITGA1
SRPK3,TPGS2,IFI30
HIST1H1B,HSD17B13,KIR2DS4
CSF1,SMC6,HLA-DPB1
TOP1MT,INTS5,ORM2
DHRS7C,ZNF548,ORM1
PDE4B,ARHGEF10,HLA-DPA1
DRD1,VRK3,HLA-B
WT1,TACC3,HLA-DQA2
CHRM5,RP11-229P13.19,DEFA3
SLC22A10,NFE2,KIR3DL2
F8,PSORS1C3,HLA-DOB
MC2R,GFRA2,LILRA6
IL3RA,TEF,FCGR2C
SCN10A,C20orf111,C4A
MAPK11,PRR24,INSL3
MUC1,RP11-585P4.5,HP
L3MBTL1,CLEC1B,CYP26B1
DLK1,B3GALTL,ALDH3B1
PMEL,TRBV4-1,PGLYRP1
PRAME,SLC11A1,ST3GAL1
KCNQ5,AC012146.7,HEBP1
GRK1,NECAP2,SERPINB1
ATP4B,C5orf4,BTN3A1
HTR3E,G3BP2,VCL
HTR3D,PRKXP1,MSR1
CYP2R1,ZSCAN29,PSMA4
CYP4F2,ANKMY1,H6PD
CYP4Z1,GDE1,LY75
GABRA5,PCCB,OPN3
RXRA,KIAA0513,PTPRN
CYP4F8,RP11-774O3.3,RELT
KCNK18,MICA,IL17RB
IFNA10,CHN2,ATP2C2
MAPT,ME3,CHI3L2
PPARA,FZD6,CD84
CYP4A11,B3GALT6,MAST4
AKR1C1,RERE,VASH1
NPSR1,PION,LMCD1
KCNJ11,TCP11L1,LMAN1
CYP26C1,OSBPL8,CELSR1
ADH1A,TRMT112,CST7
HIST1H1C,MPPE1,COL5A3
MAPK12,LYRM4,IL12RB2
TUBB4B,NLN,CD59
PLA2G2A,NNT,FCN1
IFNA2,RP11-6L6.2,OVGP1
PDCD1,WDFY4,LTBP4
ADRB3,PRMT5,LYZ
PLA2G2E,AC104135.2,CD209
CNR2,ZBTB25,FCGBP
KIR2DL4,APPL2,CECR1
MAOA,KLHL7-AS1,BAMBI
MYT1,MRPL34,TPSD1
CTSE,TRGV5,ITPR3
TUBB,CTC-281F24.1,TMED1
ADH7,RUNX2,KCNK6
FGF16,AP001189.4,HSD3B7
NCOR2,RP11-996F15.2,SNAP29
SLC6A9,AAGAB,LGALS1
MME,LRRC8C,UPK3A
CACNA1H,SDK2,COCH
LAMA2,TPK1,LGMN
HDAC2,6-Mar,TRIB3
MMP1,PRSS30P,OLFM4
ADH1B,PDCD6IP,XYLT1
UGT2B15,AP1M1,FZD3
HRH1,FAM84B,NUCB1
TLR7,CWF19L2,LILRB1
TRPV1,EIF4E3,LILRA1
CHRNG,RP11-212I21.2,CLEC11A
SCN8A,RABEPK,PSMA2
LAMB3,UBQLNL,TNFSF8
SRC,PJA2,KCNT1
ABCB8,UNG,PSMB3
HTT,GGNBP2,ICAM2
CYP2B6,ZNF586,PF4V1
CYP2F1,ELMO1,KLHL5
ELANE,ACTR5,CRTAM
MYH6,METTL18,FOLR3
DPP4,C22orf34,CD81
CYP2A13,TMEM60,SLC6A12
SLC22A12,LGALS9C,PRR4
SLC22A6,TRIOBP,MGP
IFNA1,TPD52,KLRB1
IRAK4,ATP8B4,GZMK
AVPR1B,KRT23,IK
AKR1B10,CTD-2258A20.4,BTNL8
CYP2A7,LAPTM4B,SLC12A7
ADH4,SNRNP25,PPWD1
SULT1C2,INSIG1,KLHL24
CSF2RA,GSKIP,NRBP1
NTRK1,CAMLG,GNLY
MMP17,SCO1,QSOX1
ABCA4,RETSAT,IVNS1ABP
GPX6,C19orf60,PRG4
GRIN3A,TTC12,LGALS8
GRM3,HDHD3,CTBS
RYR3,CLCN7,KLHL12
CD3E,RFWD3,LEPRE1
TOP1,CARHSP1,NENF
MAP3K3,ST6GALNAC2,TXNDC12
DMD,THG1L,VAMP8
HSD3B2,PLAGL1,C2orf40
RXRB,TRIM27,FKBP15
HLA-DRA,ABHD11,KDSR
SLC44A4,MAP1LC3A,GPR68
ABHD16A,PID1,MASTL
PRSS1,LRWD1,HSPH1
PSENEN,NECAP1,KBTBD7
PDE7A,INTS4,TGFBI
SLCO6A1,RPAP3,COPA
SMN2,CROCCP2,KLHL7
CRLF2,SRP14,FKBP9
DIO1,ARHGAP33,RAMP3
TRAV29DV5,ATG10,SRGN
IGHE,SHPK,ITPR2
TSSK1B,OXLD1,GPR83
CHUK,METTL13,PI3
LTB4R,SNHG5,EDN3
CSNK1E,SLC25A16,SEMG1
IFNA7,TIAM2,SERPINB6
WEE2,LEMD3,KCNK17
MUC5AC,C15orf57,ATG4C
GCGR,LRRC23,TRPV5
VAMP2,WDR18,EMR2
MAGEA3,CD27-AS1,SPINK2
ADRA2B,STARD10,CALU
LTA,TDRKH,ATP1B2
LTB,MEI1,CCL4
TRAC,VPS53,TRPM4
GPX1,FAM160A2,HABP4
IFNA4,HLA-DPB2,GGT7
TLR9,CENPP,TEX101
UGT1A5,RP11-1018N14.5,PPT1
UGT1A9,SNORD89,EMR3
TDGF1,DLG5,NUP210
UGT1A8,XXbac-BPG299F13.16,CLEC10A
UGT1A1,ARID1A,LGR6
UGT1A10,HDGFRP3,RXFP2
UGT1A3,C9orf156,KL
AMY2A,FAM108C1,RTN3
KIR2DL3,NEDD1,LOXL2
GSTA1,MTUS1,ADAMDEC1
GSTA2,IVD,CD101
UGT1A7,AP3S2,FKBP11
UGT1A4,ATP6V0D1,FST
ADH1C,WDSUB1,KLRD1
LYN,VAMP5,C12orf39
CYP2A6,C10orf128,PRADC1
PGA5,CHN1,GNS
PDF,PLEKHO2,KLHL36
ITGB3,AMZ2P1,SERPINE2
SULT1A3,SCO2,ITM2B
S1PR2,SEC14L5,GYPC
C8orf44-SGK3,PANX1,TRPC6
GRIN2B,CCDC88B,ATRAID
FUCA2,SGTB,ENTPD1
GCLC,WDR60,TRPC3
BAD,RP11-325P15.3,PDE6H
AOC1,SHMT1,C1RL
KDM1A,AC018633.4,GPR84
CREBBP,MRPL52,GPR65
MAP3K14,DBNDD1,SLC12A6
DBF4,QRSL1,DPEP3
CDKL3,FECH,GALNT1
NOX1,CCDC82,COL6A2
CAMK1G,TMED5,SIGLEC10
CDK11A,ELL,HSPG2
SLC6A13,ADCY7,PIGK
PRSS3,RPUSD4,CELSR2
PTBP1,BAK1,ATP1B1
PLAUR,FUT7,CREG1
INSRR,NUP107,XCL1
NR2E3,EEF1A1,XCL2
UBA6,IFITM4P,ECM1
OTC,TES,ADAMTSL4
USP2,LL22NC03-80A10.6,S100A8
PARP3,SDCCAG3,THNSL2
HSPA5,DRAM2,LYG1
RAD51,SLC7A6,IGSF11
MCOLN3,MAD2L1BP,CYP4V2
NPFFR2,SNRNP27,KLHL3
CDK14,SEPT7P2,PLIN2
CDK17,RP11-705C15.2,KLHL35
CTSA,AP000351.10,KCNK13
SLC12A2,HLA-DQB1-AS1,UHMK1
KARS,MEAF6,MCOLN2
ME1,RALB,LRRK1
ELAVL1,GTF2F2,LY96
KDM4A,IKZF1,CD1A
SIRT2,COMMD2,CD1B
PYGM,FXYD5,CD1E
MAPK6,UQCC,CPA5
POLB,NME4,NBL1
CSNK2A2,RP3-460G2.2,PINK1
MYO3B,RP11-5N23.3,PKN3
IKBKG,AGAP8,SCGB3A1
GLI2,ANKRD28,ALDH16A1
MGLL,AC125232.1,SIGLEC11
DPP8,RP11-37B2.1,TPCN2
ATP12A,DECR2,TM2D1
NAALAD2,RABAC1,FCGR3B
ARAF,IRF2BPL,H3F3A
ADCYAP1R1,RTKN2,S100A9
LIPE,RP11-362F19.1,S100A12
CPB2,MIR4712,APOA1BP
KCNN2,CDK2AP1,PROK2
CAD,ITPA,FSTL1
PREP,MTRF1L,IGFBP7
DNAJA1,UCP2,IL17RC
HSD17B2,AC005154.8,CXCL1
NOX4,ABTB1,CLEC3B
NLK,CEACAM4,ESM1
DNMT3B,OR52K3P,GFM2
F11,ATP9B,LMTK2
RBBP9,AP006621.5,GPR146
BIRC5,SMAP1,KDM1B
RAPGEF4,POLM,TPP1
CPA1,RP11-109L13.1,SERPINB8
SNAP23,NUPL2,CHRFAM7A
MYO3A,MEGF9,CCL23
SCD,C17orf75,CDK12
ACR,TOMM7,TUBA1C
TAB1,PELO,LAIR2
SGK2,AC159540.1,CYB5D2
HAO1,ARHGEF17,CD320
AHCY,ZNF205,CD300C
LIPG,RIN1,CD300A
TLR8,TPST1,ULK4
SUV39H1,PWP1,MLKL
GLRA2,MEG3,KLHL30
F9,SLC25A34,GFM1
SMS,ASRGL1,LGALS9
GPR50,AC104135.3,ROR2
BRS3,LRRC37A2,PARM1
KLF5,DIS3L,RNASE2
MLYCD,SLC2A8,RNASE3
EEF2K,LYSMD4,GUSB
SFRP1,CTD-2228K2.7,ALCAM
DOT1L,RP11-503G7.2,SERPINB9
SLC1A6,DDX55,GPR27
PTPRS,MUL1,KBTBD2
SIGLEC6,CYP2T2P,CYTL1
KCNN1,ISG20,CLSTN1
NAMPT,TMEM50A,ENC1
VIPR2,SCRN1,CYP4F22
NOD1,POLR1E,CXCR6
CASP2,GPR128,SMPDL3A
SERPINE1,SMOX,KCNK7
GCK,MAN2B2,C1QB
EIF4H,TIMM10,C1QA
KDM4C,FAM118B,TNFRSF10C
BMPR1A,RP11-326C3.11,CNP
PPIF,RPL12,GPR160
WNT3,RP11-326C3.12,TLR1
MLX,CEP19,LINGO2
ALOX12,PQLC1,P2RY14
AREG,C6orf62,CD164L2
AADAT,PEX5,TMEM9B
P2RX3,HIBCH,A2M
SLC1A2,AP001372.2,LRRN1
ASIC1,FPGT,KBTBD11
DAO,AP003774.6,DEAF1
SLC11A2,MCMBP,FAM20C
TRPV4,PLEKHH2,THBD
LDHB,RNF167,CD300LB
GABRR2,DAP,P2RY13
STK38,TRIM24,ANXA2
GRM6,RCHY1,GPR97
TARS,FAM153B,GPR19
TNNC1,UBE3B,PLGLB1
NEK4,UVSSA,UTP11L
TTL,CLEC4G,DGCR6
PSMD14,U66061.31,FAM19A1
PDE1A,AC005154.6,NELL2
STAT1,C1orf174,SEMA4B
IGFBP5,DRAM1,C6orf120
SLC5A7,TMEM9B-AS1,CDK10
QPCT,HAL,FFAR3
ATP6V1B1,ERMP1,CD300E
AMPD2,RP11-121C2.2,BTN3A2
SRM,LRRFIP2,LILRB4
AMPD1,RP5-935K16.1,GPR141
HAO2,FIS1,FPR3
RGS4,RP11-875O11.3,TLR5
CDK18,KIAA2013,PLSCR1
GALE,C19orf40,S100A13
SLC2A1,RP11-434C1.1,PRTN3
SLC5A9,SESN1,VKORC1L1
TNNT2,PNKP,CD47
UCHL3,SLC48A1,HCAR1
NEK9,POLR2J,IPP
IDE,RP11-797H7.3,GYPE
ELOVL3,MCM3AP,SERPINB2
CPN1,TPM3P9,NMB
KHDRBS1,NINJ1,ERO1L
SV2C,LRRC25,CLEC4C
XPNPEP2,TRBV10-1,RPS6KL1
NR4A1,PNMAL1,SLC29A3
DBH,USP32P2,KLHL9
KCNJ2,BTG2,NAGA
ADCK4,PSRC1,LCN8
SLC12A5,PSAT1,CD300LD
PCK1,LINC00176,CD177
PEPD,LRR1,CCL4L1
GRM4,HLA-K,CCL3L1
BMP4,STAG3,VIT
KDM5C,RP11-420G6.4,GPR56
UBA2,CEBPZ,COLQ
FFAR2,RP1-90J20.11,IGLV8-61
STAT5A,KTN1,IGLV10-54
PTPRB,RPAP1,IGLV5-37
PIN1,PUS7,IGLV3-12
PLA2G5,FADS1,IGLC2
PKMYT1,TTC3,NUP62
GALR3,APOBEC3H,ANG
TPH1,GOLM1,C4B
SIGLEC9,AC084018.1,CYP21A2
BCL2L2,POLR1D,LILRA2
TNNI3,LGSN,PSMB9
KCNA5,FAHD1,CD302
LDLR,TESPA1,SERPINB10
ACE2,PROSC,IL10RB
SLC6A8,DOK2,DDOST
HSD17B3,ACYP2,GPR162
NR1H2,ENOSF1,SIGLEC12
ACLY,TTC19,CCL3L3
AOC2,RP5-894A10.5,SLC22A31
G6PC,SLC44A2,
ACACA,B3GNTL1,
SLC6A11,C2orf15,
HSD17B7,PKD1P1,
BHMT2,TBC1D4,
PDE6A,LINC00638,
PIK3C2B,C1QTNF4,
CSNK1G2,WIPI2,
AMPD3,PPARGC1A,
CAMK1,SUPT4H1,
CHIA,KIAA1671,
LDHA,MORN3,
CCNH,C1orf115,
YARS,FTSJ3,
APLNR,ALMS1,
HNRNPA1,CDC42SE1,
NMBR,ARHGAP24,
CPM,ORAI1,
GPR55,APIP,
NMT1,MS4A6A,
FPGS,ISOC1,
NR5A1,AC073043.2,
PLAA,INF2,
PPIL1,TRBV7-3,
MMP20,RP11-234K19.2,
MMP27,MYO16,
BCL2L10,TRAV4,
BRDT,NDUFV3,
PPM1B,SLFN12,
RBP4,SP110,
CDK15,CCDC15,
HCN4,NAPB,
ENPEP,SEC61A2,
CASP6,HK2,
PIK3C2G,RP1-153P14.3,
TPH2,TXNDC15,
RB1,SH3GLB2,
SORD,GPR137B,
HDC,SAMD12,
BCL2A1,LGALS9B,
CACNA1A,ATP13A1,
BRD4,PARP14,
HUNK,PCNT,
SAE1,B3GNT2,
KLK3,CCBL2,
PADI3,PLEKHA1,
PADI1,DZIP3,
PGD,AC012454.4,
PRKACB,SRA1,
ADC,PMS2P3,
PTPRF,CENPQ,
PI4KB,CTD-2358C21.4,
DYRK3,MAF1,
KCNN3,TMEM41B,
PKLR,CLTB,
ACP1,TMX4,
CDC42BPA,ARRB2,
CALM2,PHLDB3,
PTH2R,DOCK8,
ACKR3,SLC23A3,
CTDSP1,TSPAN4,
FABP2,FLVCR1,
GLRA3,TNPO3,
PLK2,C19orf48,
PIK3R1,USF1,
BHMT,WDR55,
GABRR1,USP39,
IGFBP1,SRPRB,
CASK,NMNAT3,
GPR119,C16orf13,
CHRNB3,ARAP3,
CHRNA6,GIMAP4,
NPFFR1,SUN2,
PAOX,CCDC127,
ATM,XXyac-YRM2039.2,
ADAM33,TOR1B,
TAOK2,SNX25,
CSNK1G3,ZRANB1,
NEK7,CRLS1,
ADAM8,RP11-457M11.5,
KCNJ1,IRF6,
TDO2,NSFP1,
MCHR2,TTC37,
STK32B,GLYCTK,
CPB1,ZNF772,
RANBP2,ZNF493,
NR4A2,NMT2,
TMPRSS11D,RP11-726G1.1,
SLC5A10,BCAS4,
UCHL1,NECAB2,
PDE1C,RP11-849F2.8,
ADAMTS5,IGKV1D-13,
DCK,PIGM,
SMG1,BICD2,
ERG,TMED6,
PSMG3,SIPA1L2,
CDC25C,FLYWCH2,
PLA2G2F,RP13-98N21.2,
ADAMTS4,A4GALT,
C1R,C8orf31,
NAE1,SMARCB1,
CALM3,HM13,
G6PD,ZFP1,
CCL5,MPC1,
EIF4A1,PITPNA,
ALPL,FAM89A,
KCNJ9,ZNF626,
MAPKAPK2,NINJ2,
CAPN2,PVALB,
BIRC8,C7orf29,
HPGDS,RP11-797A18.4,
ALPPL2,FLJ00104,
ALPI,KANK1,
STK36,NIPAL2,
PTPN13,ZNF815P,
ALB,SACM1L,
CPA3,CTNNAL1,
SNRK,EFCAB2,
CDC25A,STX8,
GUCY1A3,DDX5,
NPY1R,HSF2,
TERT,FEM1C,
HCN1,AC022498.1,
CYBB,DISC1,
FAAH2,RNASEH2B,
HPRT1,C14orf159,
PNLIPRP2,OPTN,
SLC6A5,HSDL2,
SENP8,QKI,
MAPK7,SUPT3H,
HSP90B1,FBXO2,
MMP10,RP13-98N21.3,
SCNN1G,SLC46A2,
PIP4K2C,RAPGEF2,
TGM6,LRRC61,
SMAD3,ARL4A,
MARS,FTSJD1,
SLC27A4,CECR7,
MVD,USP3,
KLK1,MCM8,
IGFBP6,PCM1,
SOAT2,TFCP2,
PBK,ACOT4,
CX3CR1,RNMT,
SCNN1B,AC016773.1,
FEN1,SLC38A1,
CTRB1,TMEM63A,
PPIC,PARP16,
STK32A,OR7E14P,
PROKR1,CEP78,
CHRNA5,NARS2,
AGPAT2,CDR2,
P2RY1,FRMD4B,
MRGPRX1,ASB16-AS1,
GLB1,CTA-29F11.1,
FABP4,CNIH4,
FOS,RBBP8,
ELOVL6,WDR61,
CEL,RSPH3,
PLA2G1B,ASF1A,
CDC42BPG,CTH,
RXFP1,MTO1,
P2RY6,DCBLD1,
RNASEH1,KCNMB4,
PPIH,ASB1,
EIF2AK3,SLC26A5,
PPP1CA,ZDHHC7,
OXSR1,RNGTT,
PHF8,SLC44A5,
RELA,CAPS,
KDM2A,NDUFA6,
LIPM,WDR5B,
TNKS,CCZ1B,
FKBP2,C7orf13,
RCE1,SETD4,
STAT5B,MKRN2,
KCNH6,SRBD1,
PLK3,PPDPF,
PHOSPHO1,U6,
TUBB8,CLCN6,
NR1D2,MICALCL,
AMY1B,LONP1,
ATR,PPM1M,
PTPN2,DSTN,
KCNA3,FAM21A,
NIM1K,LY6G5C,
NR2C2,RP11-834C11.3,
GSG2,GTF3A,
UBE2N,UROD,
RPS27,AC093838.4,
DHFRL1,ANKRD10,
PTPN11,CGGBP1,
CLK3,LIN7A,
CCR8,JMJD6,
CSNK1A1L,CENPV,
PRF1,ST20,
NPM1,TMEM116,
C1S,KIAA1875,
KCNB2,ASPRV1,
NPBWR1,ARNTL,
PTP4A2,FLCN,
KCNJ12,NDN,
PLA2G6,WDR86,
KCNH7,1-Mar,
NPY2R,TTLL3,
PRMT3,SERAC1,
SV2B,STAG3L1,
PRKG1,ARHGAP19,
P4HB,C2orf27A,
PIP5K1C,EIF2A,
PDE2A,PTPRM,
CXCR3,SYTL2,
PNLIPRP1,ZNF252P,
MITF,HEXDC,
USP7,RP11-673E1.3,
TRPV2,TMEM245,
SLC18A3,SUGP2,
AMY1C,MPP7,
P2RX2,DNLZ,
PLA2G2C,MORC3,
GLRA4,CDRT15P1,
NDUFA4,TPP2,
GRM7,NT5DC2,
WDR5,VWDE,
ESRRG,AC006369.2,
WNK3,CMC2,
NEK5,PADI4,
C5AR1,RQCD1,
TXNRD3,HCG27,
PPIAL4C,RP11-3K24.1,
TUBB3,ORAI2,
FKBP1C,SNHG16,
MGEA5,RP5-943J3.1,
TLK1,CMTM8,
MT-CO2,XPNPEP1,
SLC5A3,TBC1D14,
SUCNR1,AC131097.3,
GRK5,NDUFAF5,
MT-ND4,ZNF415,
SREBF2,LINC00211,
TGM2,CFL2,
HSD3B1,CCDC64B,
LIPK,AK5,
LIPJ,MT1X,
BRD2,YIF1B,
EHMT2,UPK3B,
HSPA1B,COPG2,
HSPA1A,ZC3H12C,
AKT1S1,OSBPL5,
AREGB,NCOA4,
TSSK2,SNX6,
STK38L,GIT1,
ASIC3,PEX11G,
LTB4R2,THAP7-AS1,
PPME1,INPP4B,
DDX3X,KCTD2,
PSMB11,RP11-392A22.2,
PGA4,AC005077.14,
PGA3,TCF19,
SBK3,RP4-647J21.1,
KDM4E,TBC1D7,
PPIAL4G,RGMB,
AMY1A,TRNT1,
HBB,RP1-55C23.7,
CDK11B,SPTLC2,
CDK3,RP11-273B20.1,
PRKDC,CSTA,
NOX5,CORO1C,
PPIAL4B,ATF6,
PPIAL4A,NME7,
PPIAL4D,GALNT6,
GPR142,LINC00476,
BCL2L2-PABPN1,MTHFSD,
CFH,GNGT2,
WNT16,MRPS18AP1,
TFPI,SDCCAG8,
SLC4A1,RPS9,
CRLF1,AHSA2,
PROM1,RP11-445P17.8,
TENM1,IFI27L1,
MASP2,CMSS1,
SEMA3G,LZTR1,
HFE,ESYT2,
MRC2,EXOC2,
SLC6A7,RP11-10L12.4,
LTF,RP11-156P1.3,
CNTN1,CLEC9A,
VSIG2,EIF2B1,
NRXN3,CCDC125,
ERP44,CTC-228N24.3,
IBSP,PCK2,
VCAN,SPAG1,
C6,DTNBP1,
RTN4R,POLR3K,
USH2A,CCSAP,
CP,NUP88,
TNFRSF17,VPS16,
KITLG,MTMR3,
LTBP1,CHMP4B,
COL23A1,SLC7A1,
PRSS8,RP11-326C3.13,
FSTL4,NUDT16P1,
ITIH1,RAB11FIP4,
ATP2B4,RP11-685N10.1,
WNK1,NBPF3,
COL11A1,CBR4,
WNT8A,NAA38,
WISP2,CYB5D1,
NTN1,DUS3L,
COL17A1,RP11-522I20.3,
ATP2B3,TRIT1,
HYAL2,PPAPDC2,
RORA,GALT,
TGFBR3,C2CD2L,
SCT,TMCO3,
FGF10,ZNF544,
MGAT4A,EHD4,
PRLH,ZNF155,
LPHN1,ZNF605,
ACTN1,RP11-664D1.1,
TRPC5,DDX60L,
PVR,UPF3A,
CD5L,CLEC7A,
ATP2A3,PLB1,
NTN4,EVI2A,
SEMA3A,NICN1,
FBLN1,RRN3P1,
ITGA8,VSIG10,
LAMP3,RBCK1,
AFM,UNC5B,
SCGN,TNNT3,
CFHR2,PPP2CB,
CXCL2,AKAP7,
COL4A4,RFC4,
CD82,NSA2,
WNT11,IFIT5,
ADAMTS2,HNRNPH1,
NID2,REEP4,
DEFB127,RP11-529H20.6,
CPXM1,C22orf29,
ERP29,TTC23,
CHRD,LSM7,
FLT3LG,UTP23,
DLD,TEAD2,
ITGA6,SPIRE2,
TF,RP11-611D20.2,
APOH,UFSP1,
CCDC80,ZNF337,
TRPM7,IMP4,
NXPE1,ASAP1,
TLL2,R3HCC1L,
CRTAC1,BDH2,
IL11,ARRDC5,
NCR2,IKZF3,
MLN,RPF2,
IGFALS,YWHAH,
APOL1,ARHGAP22,
CSF2RB,OASL,
GZMH,GTF2H5,
SERPINA4,RPL17,
VRK1,RP11-43F13.1,
PROCR,C11orf54,
COL20A1,RP1-90J20.7,
ANGPT4,KIAA0226L,
PDYN,WRAP73,
JAG1,C19orf53,
CST9L,VLDLR,
WFDC2,HEY1,
SPINT3,SF3A3,
CHRDL1,RP11-44F14.2,
FGF9,MAPK8IP1,
HAS3,RP3-525N10.2,
PLA2G15,MRPL42,
SCG3,TRAPPC9,
WISP1,SSH2,
IL7,RP11-77H9.2,
FGL1,SIDT1,
DKKL1,TMEM63C,
RETN,RNF13,
OLFM2,RP11-465B22.3,
ICAM4,ASCL2,
FGF21,STX4,
LILRB5,NBR2,
SCN1B,KLC1,
TFPI2,SLC35E3,
WNT2,CAPG,
FKBP14,CTD-3214H19.6,
PCOLCE,CTC-459F4.1,
SFRP4,ZNF613,
FKTN,C10orf88,
CXCL12,CDC42SE2,
C10orf54,MRPL43,
MINPP1,TYW1,
CSF3,GORAB,
ASIC2,C20orf27,
CCL7,TRAV8-5,
COL1A1,ZNF302,
PPY,NSUN7,
EFNB3,NARFL,
NMU,DECR1,
CPE,RP5-1051J4.4,
HGFAC,COX6C,
SIAE,SUCLG2,
NRXN2,DAB1,
ST3GAL4,AC010982.1,
APOA5,RP11-166B2.1,
APOA4,LIAS,
APOC3,CDKN2B,
MDK,DAB2,
CD69,SLC2A1-AS1,
FZD10,RWDD2B,
IL26,RP11-84C10.2,
RAB35,AP001007.1,
BTN3A3,MAP7D1,
ULBP1,HMBS,
TULP1,PSTPIP1,
GPLD1,TNNC2,
SMOC2,RAB8A,
LIFR,COPS6,
C9,IGHV1-69,
KNG1,INTS1,
HRG,COA6,
WNT5A,RP1-197B17.3,
FGF12,ZNF503,
HYAL1,ZNF354A,
PLSCR4,PCNX,
CCL20,ING5,
GCG,RP11-617D20.1,
EFEMP1,ABHD15,
WNT6,AP3B2,
PROC,COX6B1,
LCT,ST3GAL5,
TNR,HOXA2,
PAPPA2,AP4E1,
CAPZA1,FGD3,
CFHR3,CTD-2531D15.4,
CD58,ST6GALNAC1,
NR5A2,NBPF2P,
NID1,RP11-327F22.6,
ZP4,RP11-540B6.2,
SLAMF1,RFPL4A,
MFAP2,AC068039.4,
CD160,MTSS1,
CR2,PHF11,
CD46,CTB-167B5.2,
APOA1,OCEL1,
RPN2,WDR81,
CASQ2,AGAP6,
LTBP2,TEFM,
INSL6,SLC24A3,
INSL4,TTC38,
TNN,ARF3,
KCNJ5,ZMAT3,
ENOX1,SNPH,
CLU,RNF185,
NPPB,RP11-341N2.1,
SCPEP1,MORC2-AS1,
PRB2,ROBO3,
SPINK4,SAMD10,
ITIH5,OTX1,
LRP1,SCRN2,
TUBA1B,ALG1L2,
PLA2G12A,SLC35A5,
SLC12A4,ZNF286A,
SDC4,RP11-453E17.1,
PIGT,AP4M1,
MATN4,ACAP1,
HIST1H4B,VPS9D1,
BTN1A1,LILRP1,
HIST1H3B,TANC2,
IL37,PCGF3,
C3,IFI27L2,
DEFB126,ISM1,
PCSK2,SSPO,
GDF5,RP11-75L1.2,
MMP24,RP13-582O9.5,
ST3GAL3,TMPRSS9,
PROZ,KIAA1430,
CCR7,IGLV1-41,
FGFRL1,AC009506.1,
IL17B,VAPA,
TNFRSF19,SLC39A3,
ADM2,C8orf46,
IGLL1,RP11-493L12.4,
LIF,SNAI3,
VGF,LRRC7,
TWSG1,PTBP2,
LOXL1,C19orf35,
CD68,C4orf32,
INS-IGF2,DCP2,
LBP,ELAC2,
APOE,PRELID1,
APOC1,JARID2,
NCAN,AXIN1,
EPO,FZD1,
GDF15,ATP6V1E1,
COL5A1,RP11-678G14.4,
ANGPTL6,BET1L,
ULBP2,TPM1,
PYY,SETD9,
F12,USP48,
NAPSA,ANGEL2,
VIMP,C1QL3,
LGALS3,PARP15,
