ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0001906	cell killing	44/632	263/18805	0.167300380228137	4.97798045916157	12.1152555266364	8.8199188121313e-19	2.94333290644839e-16	2.12871724713846e-16	CXCL1/CD55/CXCL3/CXCL2/APOL1/HLA-DRA/NOS2/ICAM1/PLA2G2A/CXCL9/SERPINB9/GZMB/GBP5/CXCL11/C3/FCGR3A/LILRB1/GBP1/CXCL6/PTPRC/CXCL10/IL7R/CCL18/LYZ/SLAMF7/CCL20/SLAMF6/CR1/TREM1/CCL11/CORO1A/CFH/FCGR1A/S100A12/FCGR2B/CXCL13/DEFA6/FCGR2A/DEFA5/LTF/CCL19/SERPINB4/STAP1/CCL21	44
BP	GO:1990266	neutrophil migration	29/632	107/18805	0.271028037383178	8.06437063764344	13.665896744185	1.0284792013956e-18	3.20336988594683e-16	2.3167847273543e-16	CXCL3/PECAM1/S100A8/IL1B/RAC2/SAA1/PDE4B/CXCL9/S100A9/EDN3/ITGB2/CXCL6/CXCL10/IL1A/CXCR2/MCOLN2/CSF3R/CCL3/TREM1/S100A12/CXCR1/TNFAIP6/CXCL5/FCER1G/CXCL13/CCR7/CCL19/CCL21/CD177	29
BP	GO:0019730	antimicrobial humoral response	36/632	185/18805	0.194594594594595	5.79011289770783	12.2099004304169	8.99982393187159e-18	2.62794858810651e-15	1.90062071192815e-15	CXCL1/PI3/CXCL3/CXCL2/NPY/MMP7/LEAP2/DEFB1/ADM/CXCL9/S100A9/CXCL11/CCL2/SLPI/CXCL6/CXCL10/REG1A/CCL18/DMBT1/LYZ/REG3A/CCL4/CCL20/CCL3/CCL11/CCL3L3/S100A12/REG1B/CXCL5/CXCL13/S100A7/DEFA6/DEFA5/LTF/CCL19/CCL21	36
BP	GO:0022409	positive regulation of cell-cell adhesion	48/632	337/18805	0.142433234421365	4.23806483116103	11.1856417136837	1.97808720412158e-17	5.43624906920943e-15	3.93167797227881e-15	CD55/GCNT2/CD44/ANXA1/VNN1/HLA-DMA/ANK3/SELP/LYN/PCK1/IL1B/THY1/PDPN/VCAM1/HLA-DRA/FYN/CHST2/CCL2/ICOS/ITGB2/LILRB2/LILRB1/PTPRC/IL1A/SLAMF1/IL7R/CD86/RHOH/PLAUR/CD27/IL2RA/CAV1/CR1/CD274/HLA-DOB/BCL6/IFNG/CORO1A/SELE/ST3GAL4/HHLA2/CXCL13/IL6/CCR7/WNT5A/CCL19/HLA-DRB5/CCL21	48
BP	GO:0030593	neutrophil chemotaxis	25/632	84/18805	0.297619047619048	8.85557941531043	13.4562389936419	2.17702710603006e-17	5.65059479965135e-15	4.08670000605643e-15	CXCL3/S100A8/IL1B/RAC2/SAA1/PDE4B/CXCL9/S100A9/EDN3/ITGB2/CXCL6/CXCL10/CXCR2/CSF3R/CCL3/TREM1/S100A12/CXCR1/TNFAIP6/CXCL5/FCER1G/CXCL13/CCR7/CCL19/CCL21	25
BP	GO:0071219	cellular response to molecule of bacterial origin	40/632	246/18805	0.16260162601626	4.83817021714521	11.3001665874819	9.79156407004268e-17	2.40769407027576e-14	1.74132524458931e-14	CD55/IRAK3/TNIP3/HMGCS2/MMP3/ZC3H12A/LYN/IL1B/SLC7A5/PDE4B/MMP9/NOS2/CXCL9/GBP5/CCL2/VIM/LILRB2/LILRB1/CXCL6/CXCL10/IL1A/NR1H4/CD86/LY96/PTGS2/CD180/CD274/KMO/SERPINE1/FCGR2B/CXCL5/CXCL13/IL6/DEFA6/IL24/DEFA5/WNT5A/LTF/TLR10/STAP1	40
BP	GO:0050727	regulation of inflammatory response	54/632	442/18805	0.122171945701357	3.63519531473738	10.4549623776435	1.78618614536407e-16	4.17253083557047e-14	3.01771448769403e-14	DUOXA2/ANXA1/MMP3/ZBP1/IDO1/S100A8/LYN/OSMR/IL1B/IL33/SAA1/SOCS3/MMP9/C2CD4A/PPARG/FYN/SYT11/CDH5/CREB3L3/PLA2G2A/TNC/S100A9/BIRC3/GBP5/C3/LRRC19/AIM2/FGR/GBP1/PTPRC/CST7/NR1H4/CXCL17/IL2RA/REG3A/PTGS2/LRRK2/HGF/BCL6/BTK/CCL3/IFNG/SERPINE1/SELE/FCGR1A/S100A12/FCGR2B/FPR2/FFAR2/TNFAIP6/IL6/CCR7/WNT5A/STAP1	54
BP	GO:0071222	cellular response to lipopolysaccharide	38/632	232/18805	0.163793103448276	4.87362232649498	11.0710952044833	4.55309770143082e-16	1.01295583148023e-13	7.32603690305409e-14	CD55/IRAK3/TNIP3/HMGCS2/MMP3/ZC3H12A/LYN/IL1B/SLC7A5/PDE4B/MMP9/NOS2/CXCL9/GBP5/CCL2/VIM/LILRB2/LILRB1/CXCL6/CXCL10/IL1A/NR1H4/CD86/LY96/PTGS2/CD180/CD274/KMO/SERPINE1/CXCL5/CXCL13/IL6/DEFA6/IL24/DEFA5/WNT5A/LTF/STAP1	38
BP	GO:1903039	positive regulation of leukocyte cell-cell adhesion	42/632	285/18805	0.147368421052632	4.38491005996003	10.7379015917882	6.23937823440873e-16	1.32501705050716e-13	9.5829684844268e-14	CD55/CD44/ANXA1/VNN1/HLA-DMA/SELP/LYN/PCK1/IL1B/THY1/VCAM1/HLA-DRA/FYN/CHST2/CCL2/ICOS/ITGB2/LILRB2/LILRB1/PTPRC/IL1A/SLAMF1/IL7R/CD86/RHOH/CD27/IL2RA/CAV1/CR1/CD274/HLA-DOB/BCL6/IFNG/CORO1A/SELE/ST3GAL4/HHLA2/IL6/CCR7/CCL19/HLA-DRB5/CCL21	42
BP	GO:0071216	cellular response to biotic stimulus	41/632	273/18805	0.15018315018315	4.46866161264895	10.7659524891017	7.12811456128021e-16	1.44793701001309e-13	1.04719669298442e-13	CD55/IRAK3/TNIP3/HMGCS2/MMP3/ZC3H12A/LYN/IL1B/SLC7A5/PDE4B/MMP9/NOS2/CXCL9/GBP5/CCL2/VIM/LILRB2/LILRB1/CXCL6/CXCL10/IL1A/NR1H4/CD86/LY96/PTGS2/CD180/CD274/BTK/KMO/SERPINE1/FCGR2B/CXCL5/CXCL13/IL6/DEFA6/IL24/DEFA5/WNT5A/LTF/TLR10/STAP1	41
