category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Immune disease	hsa05310	Asthma	6/433	32/9564	0.1875	4.14145496535797	3.87610617863478	0.00276345752028405	0.0183830000262374	0.0143548022220705	HLA-DMA/HLA-DRA/HLA-DOB/CCL11/FCER1G/HLA-DRB5	6
Human Diseases	Infectious disease: bacterial	hsa05134	Legionellosis	8/433	56/9564	0.142857142857143	3.15539425932036	3.5225567901592	0.00347618325039518	0.0226321718004452	0.0176728689325802	CXCL1/CXCL3/CXCL2/IL1B/C3/ITGB2/CR1/IL6	8
Human Diseases	Cancer: overview	hsa05204	Chemical carcinogenesis - DNA adducts	9/433	71/9564	0.126760563380282	2.79985687798849	3.31472314382911	0.00452635150801813	0.0288554908636156	0.0225324954456166	UGT2A3/UGT1A1/SULT1A2/NAT2/PTGS2/GSTA1/CYP3A4/UGT2B15/UGT2B17	9
Organismal Systems	Immune system	hsa04621	NOD-like receptor signaling pathway	17/433	189/9564	0.0899470899470899	1.98672971883134	2.98349508870174	0.00532662335743616	0.0332642193341932	0.0259751557924384	CXCL1/CXCL3/CXCL2/IFI16/OAS2/STAT1/IL1B/GBP4/CARD6/BIRC3/GBP5/CCL2/AIM2/GBP1/IL6/DEFA6/DEFA5	17
Human Diseases	Immune disease	hsa05322	Systemic lupus erythematosus	14/433	144/9564	0.0972222222222222	2.14742109314858	3.02106784611893	0.00560872844109103	0.0343254180594771	0.0268038180237403	C2/HLA-DMA/C1R/HLA-DRA/C3/C4B/FCGR3A/C1S/CD86/HLA-DOB/IFNG/FCGR1A/FCGR2A/HLA-DRB5	14
Organismal Systems	Digestive system	hsa04978	Mineral absorption	8/433	61/9564	0.131147540983607	2.89675538560557	3.23614321807917	0.00592189436073587	0.0355313661644152	0.0277455112463786	MT1F/MT1H/TRPM6/MT1G/MT1M/SLC6A19/SLC5A1/SLC26A3	8
Metabolism	Lipid metabolism	hsa00120	Primary bile acid biosynthesis	4/433	17/9564	0.235294117647059	5.19711995652765	3.77158791854331	0.00616177866462259	0.0355755522900851	0.0277800150321614	AMACR/CYP27A1/ACOX2/CH25H	4
Metabolism	Energy metabolism	hsa00910	Nitrogen metabolism	4/433	17/9564	0.235294117647059	5.19711995652765	3.77158791854331	0.00616177866462259	0.0355755522900851	0.0277800150321614	CA12/CA1/CA2/CA7	4
Metabolism	Xenobiotics biodegradation and metabolism	hsa00980	Metabolism of xenobiotics by cytochrome P450	9/433	79/9564	0.113924050632911	2.51632706755927	2.94692864481304	0.00911360085858315	0.0516437381986378	0.040327239666635	CYP2B6/UGT2A3/UGT1A1/ADH6/ADH1C/GSTA1/CYP3A4/UGT2B15/UGT2B17	9
Organismal Systems	Immune system	hsa04659	Th17 cell differentiation	11/433	109/9564	0.100917431192661	2.22903998135475	2.81015547249693	0.0102109494230291	0.0568100095172163	0.0443614453402412	HLA-DMA/STAT1/IL1B/HLA-DRA/IL2RA/HLA-DOB/IRF4/IFNG/FOS/IL6/HLA-DRB5	11
Human Diseases	Immune disease	hsa05320	Autoimmune thyroid disease	7/433	54/9564	0.12962962962963	2.8632281241981	2.98988515636302	0.0104440786364226	0.0570694296918806	0.0445640197456378	HLA-DMA/HLA-DRA/CTLA4/GZMB/CD86/HLA-DOB/HLA-DRB5	7
Metabolism	Amino acid metabolism	hsa00380	Tryptophan metabolism	6/433	42/9564	0.142857142857143	3.15539425932036	3.04838020712442	0.0109372994380962	0.0587160285624113	0.0458498055853711	KYNU/IDO1/DDC/MAOA/TDO2/KMO	6
Organismal Systems	Immune system	hsa04611	Platelet activation	12/433	126/9564	0.0952380952380952	2.10359617288024	2.71542196365848	0.0116291933879473	0.0612603086169155	0.0478365671002402	PRKG2/LYN/P2RY1/FYN/COL1A2/COL1A1/VWF/LCP2/COL3A1/BTK/FCER1G/FCGR2A	12
Human Diseases	Infectious disease: viral	hsa05164	Influenza A	15/433	173/9564	0.0867052023121387	1.91512368340253	2.6450189083262	0.0118116281320197	0.0612603086169155	0.0478365671002402	HLA-DMA/OAS2/STAT1/IL1B/IL33/SOCS3/HLA-DRA/ICAM1/CCL2/CXCL10/IL1A/HLA-DOB/IFNG/IL6/HLA-DRB5	15
Metabolism	Lipid metabolism	hsa00071	Fatty acid degradation	6/433	43/9564	0.13953488372093	3.0820129974757	2.97960185691353	0.0122392732904716	0.061351489570327	0.0479077679135336	ACOX1/CPT1A/ACADS/ADH6/ADH1C/ACSL4	6
Organismal Systems	Digestive system	hsa04975	Fat digestion and absorption	6/433	43/9564	0.13953488372093	3.0820129974757	2.97960185691353	0.0122392732904716	0.061351489570327	0.0479077679135336	PLA2G12B/PLA2G2A/MOGAT2/PNLIPRP2/FABP1/FABP2	6
Cellular Processes	Transport and catabolism	hsa04146	Peroxisome	9/433	83/9564	0.108433734939759	2.39505829321907	2.77962483167643	0.0124306939652297	0.061351489570327	0.0479077679135336	ACOX1/AMACR/PHYH/CROT/ACOX2/NOS2/EPHX2/ACSL4/SOD2	9
