Gene	Cell	cor	pvalue
PPARG	B cells naive	-0.186861929498653	0.00119206673184195
PPARG	B cells memory	-0.260299675828135	5.28066150509687e-06
PPARG	Plasma cells	0.281461364725954	7.87038833286367e-07
PPARG	T cells CD8	0.299378262636275	1.38174788931197e-07
PPARG	T cells CD4 naive	-0.346510308891249	7.84299961175455e-10
PPARG	T cells CD4 memory resting	0.116732097554724	0.0440591003707115
PPARG	T cells CD4 memory activated	-0.30764712774854	5.9425702498707e-08
PPARG	T cells follicular helper	-0.0839555098504347	0.148244706605507
PPARG	T cells regulatory (Tregs)	0.00426302366700661	0.941581519415313
PPARG	T cells gamma delta	-0.0932653348736485	0.108109929784945
PPARG	NK cells resting	-0.283739931916998	6.35012312826468e-07
PPARG	NK cells activated	0.215469823525689	0.000178198286127723
PPARG	Monocytes	-0.0195919247895537	0.736252606683384
PPARG	Macrophages M0	-0.378005365258226	1.47789385991531e-11
PPARG	Macrophages M1	-0.24215162970515	2.38226245348189e-05
PPARG	Macrophages M2	0.470672911999399	7.79435736305028e-18
PPARG	Dendritic cells resting	0.0333678740267747	0.566131739636749
PPARG	Dendritic cells activated	-0.209409973046699	0.000272398605906789
PPARG	Mast cells resting	0.354622812617413	2.93828134119961e-10
PPARG	Mast cells activated	-0.296185112621915	1.90068657733048e-07
PPARG	Eosinophils	0.347056657892963	7.34762293971814e-10
PPARG	Neutrophils	-0.285102133064778	5.58032464240229e-07
