id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
GSM2869371_con	0.173361821448512	0.198395806845263	0.0548824145639488	0.150093287389324	0	0.0557529083510473	0	0.0802112414371665	0	0	0.0236025442930066	0	0	0	0.0029364410242104	0.165649586480542	0	0.0425024028741209	0.0526115452928589	0	0	0
GSM2869372_con	0	0.000975119636529798	0.210595319136578	0.196106263588901	0	0	0	0	0.00898368187372573	0.00176353727376951	0	0.0418168566736297	0	0.0995890644787701	0.0196149664992239	0.155106891351707	0	0.0144383838081091	0.241537614306603	0	0.00947230137245412	0
GSM2869377_con	0	0.0600885764558788	0.320978487672651	0.121181558657143	0	0.0727918083613575	0.0270259553079784	0.0022903516399388	0	0	0.0195573297188216	0	0.0246021132750304	0.0811255060398688	0.0870622499709268	0.0856802556243733	0	0.0204691150213944	0.00968269815991212	0	0	0.0674639940947242
GSM2869383_con	0	0.0528130998572898	0.346704187485149	0.131734276040567	0	0.0289703890438932	0	0.0281340863616648	0	0	0.0103349672202735	0	0.0287416344074974	0.0552080764625386	0.0889515053697298	0.0857698112071638	0	0.0449738138279813	0.0191823599576325	0	0	0.0784817927586201
GSM2869388_con	0.283987303820246	0.0711726500012397	0	0.149577640437138	0.0523776153457408	0	0.0740937625960504	0.0545871137240075	0.0342207044670611	0	0.0352075858338354	0	0	0.0441917750181001	0.0119846257466107	0.121852356786889	0	0.0462807179978544	0.0204661482252263	0	0	0
GSM2869432_con	0.00908620604448374	0.0610964422225463	0.255581168921387	0.119267161701339	0.0751837224883684	0.0120547179717296	0	0.0254837420895285	0	0	0.0765523271251994	0	0	0.0190084235095251	0	0.255005132334857	0	0.0147397452931641	0.076941210297871	0	0	0
GSM2869437_con	0.0309475611418632	0.178002356305053	0	0.157489583420638	0	0	0	0.113090206472379	0	0	0.0779575760488413	0	0.00460266656898527	0.0556086839358284	0.167781329066113	0.110855705694041	0	0.0641365527973413	0.00457631584448706	0.03495146270443	0	0
GSM2869439_con	0.050319077518038	0.143324526026418	0.0741029836453691	0.134678105149414	0	0.0112480741468613	0.00780335125003307	0.116716230613103	0	0	0.052936320981269	0	0.00900530644926839	0.0624564519193902	0.120989587418894	0.107729897900938	0	0.0456066491032502	0.0593324118920311	0	0.0037510259857221	0
GSM2869440_con	0.023652527894588	0.192353324188392	0.0213062297723496	0.160358249592274	0	0	0.00075105181116051	0.0997541533089131	0.0211857096501518	0	0.0456161984509781	0	0.0077085649395657	0.0784733309912148	0.137070651126703	0.114175556732051	0	0.0366794079743649	0.0609150435672932	0	0	0
GSM2869444_con	0.0949127540347606	0.091976513200386	0.0188669737525805	0.15054872160123	0	0.0494191491812853	0	0.141469169285702	0	0	0	0.0461363031814969	0.0246569682873087	0.0502369223978052	0.142532627142598	0.0699140179614822	0	0.0401514662835953	0.0791784136897693	0	0	0
GSM2869447_con	0.0577093429738645	0.116923523642011	0.0392608595150993	0.163664049716294	0.0684158554119549	0.146409981619663	0.00256604705615852	0	0	0	0.114706465988016	0	0	0.0232035936606995	0.0316776924709043	0.117009646094959	0	0.0523109854155802	0	0.0656421141786832	0	0.000499842256112736
GSM2869448_con	0.281384802445384	0.0294839448683673	0.0375715950241661	0.126394950243511	0.0289874102744931	0.0163359939531405	0.0296469382900739	0.0543709215927989	0	0	0.0489893652451181	0	0.0336103939575034	0.0450086733333115	0.0344325887688842	0.135909112850671	0	0.0486866537492479	0.0440611358119161	0	0.00512551959141238	0
