"sample","cohort","set","label","subgroup","DDC","TSPAN7","LCN2","RHOU","SOCS3","ANXA1","SERPINA1","CHST2","FGR","PDE6A","TRPM6","CATSPERB","MOGAT2","SERPING1","KDELR3","ME1","VLDLR","PCK1","MAOA","ADH1C","ADH6","PFKFB3","SLC2A3","PPARG"
"GSM2869369","GSE107499","discovery",0,"Control",0.635633386150063,1.34349187818664,1.38058681971017,1.10350252487934,-0.919340621561626,0.408548234474539,1.06540805687759,-0.525730044705925,-0.79998152147904,0.575517340669417,1.55752079008087,-0.119592558372897,0.0278807776715596,0.422523086553776,0.138904556978412,0.0496742098654072,0.602892197877665,1.4337879707214,1.56958096001407,2.49056102873911,0.536756803771681,-0.45363380032554,-0.469612121786145,2.01006881257112
"GSM2869370","GSE107499","discovery",0,"Control",0.616469463878352,1.30779544763813,1.27612865641241,1.05754058698694,-0.919104978617883,0.36411349577098,1.19527957066711,-0.42742524360417,-0.81948860297286,0.49040868528599,1.53757402138194,-0.192617978367323,-0.0498288452578226,0.27181132357461,0.0948936999775228,-0.0941180230935226,0.539791648733024,1.41883961807593,1.49942028897126,2.56594254002168,0.56588408423232,-0.432168125856902,-0.595868477660571,1.95812241601292
"GSM2869371","GSE107499","discovery",0,"Control",0.519179973097479,1.29162227768484,1.11206050145221,1.02200703158617,-0.661939714396213,0.540506451965263,0.838434331641736,0.105759388378868,-0.413590040374536,0.504742099579908,1.60608008267143,-0.25773528311144,-0.262528058557912,0.698140486471779,-0.106225330730912,-0.0660729102619857,0.617029854903143,1.12592523781362,1.63772658111865,2.5417799417233,0.40905194587453,-0.415272975015644,-0.311457476600812,1.88297134504334
"GSM2869372","GSE107499","discovery",0,"Control",0.426071903174922,1.05349677778524,1.52857064430479,0.788548660782071,-0.87567334449003,0.608644170007951,1.53807787548094,0.142648130131415,-0.498261918162963,0.0179937124006917,1.35539209175942,0.389482457285851,-0.0776862474201149,0.714791093821281,0.647587162643997,0.580079879233027,0.337014490543121,0.873635664255925,1.42137968914789,2.49400910682594,0.461350533764014,-0.469094838290016,-0.531057508971587,1.6618163671485
"GSM2869373","GSE107499","discovery",0,"Control",0.421510117513646,1.38621639090773,1.07774845995903,1.07995954118242,-0.967051725944829,0.536221756499787,1.25820416313746,0.01444102832694,-0.56951306065646,0.655990954088265,1.68499186148633,-0.0308164812970477,-0.183186254447109,0.788759441857512,0.0433351388418863,0.257256332840361,0.684997250176138,1.30200593681953,1.59938511091804,2.50099555732116,0.400670178096338,-0.415609702977058,-0.574241977907312,1.91579455754257
"GSM2869374","GSE107499","discovery",0,"Control",0.476521324239448,1.32654862318883,1.47790522170323,1.15252210222451,-0.882948078267244,0.511243546304258,1.03274083059784,-0.0229369647617361,-0.669070666954234,0.665597327463903,1.72461750657206,-0.0831092971149503,-0.168442257136903,0.707829507398611,0.155610420159156,-0.0141321085356113,0.845258138202955,1.46423406293052,1.58512031012008,2.45761133947537,0.371218989999165,-0.430473128665466,-0.581359552826417,1.73149149512543
"GSM2869375","GSE107499","discovery",0,"Control",0.717385656366209,1.47423259275489,1.45616098960721,1.03063710525736,-0.918162916737858,0.428779367329191,1.08384169010088,-0.267807090380375,-0.789391995464101,0.741365320892946,1.23172189434172,0.0200018488150082,-0.0345251213435291,0.318111325638725,-0.00270277561385511,0.0475094374007953,0.647587162643997,1.36945709140501,1.69141349939445,2.49400910682594,0.609759778709138,-0.359826074636795,-0.414094797564651,2.00543258859808
"GSM2869376","GSE107499","discovery",0,"Control",0.557024364665852,1.44686077458339,1.46153244727969,1.17440177580606,-0.881808326236334,0.502813356494313,0.971003533911927,-0.260929802037633,-0.836898871661103,0.587405191274325,1.67800739083371,-0.145301034752316,-0.0990833538786672,0.481891629248225,0.202066868658862,0.0167579727269297,0.879077583137459,1.55596433166038,1.68244255123878,2.5378936353904,0.572785563142486,-0.375192989043735,-0.490060357288295,1.57810724745721
"GSM2869377","GSE107499","discovery",0,"Control",0.153734788004464,0.75978787371312,2.58728892324521,0.583555497476673,-0.133137007722288,1.02018617611085,1.61854458488326,0.428948688039168,-0.328852199199884,-0.206640255373778,0.901342886147054,0.855679676835526,-0.198600225103699,1.11608223010283,0.678955998463575,0.83624142112586,-0.0869843917349653,-0.315837710589154,1.30020563720235,1.97412772798816,0.191516743358883,-0.244505701637592,-0.124416097122821,1.39474404563608
"GSM2869378","GSE107499","discovery",0,"Control",0.579166408021821,1.45705331581781,1.49847034966017,1.21669179142103,-0.881580513272997,0.482932645489055,0.995040485353162,-0.215167824576162,-0.735482663288252,0.644922819877758,1.66120227867092,-0.218013797599854,-0.0215466235984744,0.509660133774756,0.24641571344473,-0.134227820235297,0.786022014093982,1.53455906212587,1.63536928395763,2.49748709427409,0.572603596757427,-0.338322529148991,-0.533726894465292,1.76788887838704
"GSM2869379","GSE107499","discovery",0,"Control",0.649111709534809,1.44160206983538,1.31950786088925,0.991751942601448,-0.890040315123541,0.466338107528878,1.02487524200679,-0.260770013105723,-0.770342529724341,0.64055559102955,1.28137604431693,-0.0292713426239339,-0.0700977784765499,0.453976189867988,0.0155222586429523,0.116948579988266,0.73224793409347,1.25650185800889,1.71044169323537,2.48714230967673,0.545159433143328,-0.391982889454852,-0.451067569693485,1.98842008263364
"GSM2869380","GSE107499","discovery",0,"Control",0.684997250176138,1.51724366514731,1.57971875872516,1.04173312194365,-0.926196621944568,0.454661128694134,1.06214457798997,-0.363453458690041,-0.934290553661507,0.564796845102137,1.05000602656913,-0.0252542998953042,0.00471056346977134,0.332440876338215,0.0933424028338238,0.182558061147695,0.88981083505103,1.39392751395038,1.76715238741602,2.51170971425578,0.671003790813812,-0.393150596076262,-0.510187795788283,1.97088608620743
"GSM2869381","GSE107499","discovery",0,"Control",0.488319607801143,1.44730080939061,1.54161583713037,1.26093546007807,-0.914637417447551,0.498611661384246,1.11925486935608,-0.135474658782514,-0.786022014093982,0.745233420725623,1.69660149436146,-0.108710748640073,0.0128964425617985,0.49966125731043,0.204747300734455,-0.116637577806701,0.83997177089599,1.53959178535875,1.61284782721935,2.40987236286234,0.543189429397624,-0.38232796466145,-0.543189429397624,1.85377892474421
"GSM2869382","GSE107499","discovery",0,"Control",0.594946495934368,1.40007431401368,1.14178638754759,0.994280636500582,-0.915811319040119,0.539077121197567,1.12099015808137,-0.206798034928283,-0.700704625100208,0.676041697778459,1.53506058690448,-0.210902122881074,-0.0351432728097037,0.666175658908562,0.00795395670455314,0.191044856665444,0.524489119315654,1.35810594909776,1.59551258208196,2.43905280217229,0.470647066049266,-0.441853537655924,-0.436411069621867,1.96234152554376
"GSM2869383","GSE107499","discovery",0,"Control",0.108710748640073,0.564796845102137,2.73579152367196,0.407541122417201,-0.142180075222118,1.14624354946134,1.80285514291388,0.589425173574489,-0.253267363439959,-0.553060750891376,0.520417460084894,0.938600451042269,-0.366755234377449,1.20479885746052,0.723592281585341,0.976213411591166,-0.105914699940056,-0.36130942955752,1.10748615383434,2.01357455079746,0.140308165979528,-0.246495316733707,-0.0823344297898437,1.07581807705397
"GSM2869384","GSE107499","discovery",0,"Control",0.604003921288869,1.37978615925189,1.17655909071607,1.02906229968351,-0.87612665621278,0.550722697018629,1.06350298439146,0.0507566827643446,-0.601781219099546,0.691455856287339,1.17532566956843,0.0345251213435291,-0.134227820235297,0.627150342658274,-0.0204652760705879,0.0601923172452532,0.78035531500416,1.38460346196505,1.66923479730956,2.46721757528817,0.473236636791846,-0.459633344587256,-0.518649864930442,2.0171052123757
"GSM2869385","GSE107499","discovery",0,"Control",0.489189797251287,1.15222209302023,1.38783293423263,0.971746187187024,-0.840631281500811,0.596052934778488,1.44686077458339,0.156548441152757,-0.529102362898695,0.439640965426655,1.4530469425061,0.377679746768647,-0.0838842143437101,0.686951375537543,0.619834723813125,0.269087974804489,0.568968236994742,1.09081502857495,1.42222842071918,2.44208797132066,0.410563703606676,-0.42573369006105,-0.622644477645949,1.78055854934236
"GSM2869386","GSE107499","discovery",0,"Control",0.599007014416047,1.52857064430479,1.32915923632912,1.0175908060479,-0.847246623759086,0.574606271877665,1.08634600702593,-0.0422530394707256,-0.584837765236751,0.602706983101356,1.54926285196348,-0.555762268316354,-0.11181846747869,0.771381914904349,-0.0748981498705451,0.215800111622272,0.512123773851908,1.30417188199615,1.58241376321684,2.4704708783693,0.354722772491534,-0.501236684383051,-0.456031646901449,1.94875485574579
"GSM2869387","GSE107499","discovery",0,"Control",0.572967548495463,1.52460861726298,1.30561925135208,0.997069563348675,-0.872505185681508,0.574606271877665,1.13411392026932,-0.0376160153320283,-0.659058369854071,0.725600368010717,1.56536026557766,-0.444409197064363,-0.147642681871854,0.778053835000073,-0.0289623233932518,0.149516582017013,0.498436782152486,1.35153238295141,1.57329714202743,2.45133096010861,0.336033839979036,-0.467888331142127,-0.505268446158666,2.0159255313363
"GSM2869388","GSE107499","discovery",0,"Control",0.346839019549576,1.30092525111343,0.779727229117808,0.925011451630803,-0.591447563792663,0.651210428702118,0.786863671437111,0.544980254556736,-0.392483269611335,0.468232977900333,1.49138852366956,-0.439811086762147,-0.35900233076016,1.10180060520903,-0.192932659792057,-0.113372730090419,0.599376641656014,1.12041135362171,1.46333233738451,2.58292460872287,0.18177292079034,-0.549285390372737,-0.144988875605346,1.85291862299888
"GSM2869389","GSE107499","discovery",0,"Control",0.635444378542287,1.31803390514828,1.42435474401305,1.0067642896773,-0.840191567158235,0.466165929687515,1.15673317202727,-0.0529218082694073,-0.754029025724931,0.573513618461765,1.65025426252748,-0.125817016733733,-0.00563724070261363,0.581176684065091,0.141868055925886,0.0198473740226568,0.59199954450809,1.38098748204012,1.51968949657476,2.51901601914741,0.498436782152486,-0.486754197563081,-0.49564078195609,1.96446424757843
"GSM2869390","GSE107499","discovery",0,"Control",0.600486015168846,1.34349187818664,1.28067435384866,1.11954385005295,-0.868895122101938,0.407708945696333,1.11665823770418,-0.113217291566109,-0.719985057190528,0.574970642120041,1.69855881855625,-0.35357169611893,0.00579168735723792,0.496339417979891,0.061275421957866,-0.0643704073369502,0.728617996979162,1.46513698063282,1.52807407799117,2.53023410307782,0.524843586937136,-0.484147826356433,-0.513532964064849,2.00890570367761
