"workflow","selector","classifier","heldout_cohort","auc","n_selector_genes","n_model_genes","error"
"enet_075 + naive_bayes","enet_075","naive_bayes","GSE87466",0.989053092501368,6,6,""
"univ_top5 + naive_bayes","univ_top5","naive_bayes","GSE87466",0.976464148877942,5,5,""
"univ_top10 + naive_bayes","univ_top10","naive_bayes","GSE87466",0.981937602627258,10,10,""
"rf_top5 + naive_bayes","rf_top5","naive_bayes","GSE87466",0.980842911877395,5,5,""
"rf_top10 + naive_bayes","rf_top10","naive_bayes","GSE87466",0.990147783251232,10,10,""
"all + glmboost","all","glmboost","GSE87466",0.992337164750958,24,10,""
"lasso + glmboost","lasso","glmboost","GSE87466",0.993431855500821,12,9,""
"enet_025 + glmboost","enet_025","glmboost","GSE87466",0.992337164750958,19,10,""
"enet_050 + glmboost","enet_050","glmboost","GSE87466",0.992337164750958,16,10,""
"enet_075 + glmboost","enet_075","glmboost","GSE87466",0.9896004378763,6,7,""
"univ_top5 + glmboost","univ_top5","glmboost","GSE87466",0.945812807881773,5,4,""
"univ_top10 + glmboost","univ_top10","glmboost","GSE87466",0.976464148877942,10,5,""
"rf_top5 + glmboost","rf_top5","glmboost","GSE87466",0.985769020251779,5,6,""
"rf_top10 + glmboost","rf_top10","glmboost","GSE87466",0.991242474001095,10,9,""
"all + xgboost","all","xgboost","GSE87466",0.9688013136289,24,24,""
"lasso + xgboost","lasso","xgboost","GSE87466",0.93240284619595,12,12,""
"enet_025 + xgboost","enet_025","xgboost","GSE87466",0.973727422003284,19,19,""
"enet_050 + xgboost","enet_050","xgboost","GSE87466",0.9792008757526,16,16,""
"enet_075 + xgboost","enet_075","xgboost","GSE87466",0.961138478379858,6,6,""
"univ_top5 + xgboost","univ_top5","xgboost","GSE87466",0.953749315818281,5,5,""
"univ_top10 + xgboost","univ_top10","xgboost","GSE87466",0.9688013136289,10,10,""
"rf_top5 + xgboost","rf_top5","xgboost","GSE87466",0.971811713191024,5,5,""
"rf_top10 + xgboost","rf_top10","xgboost","GSE87466",0.9688013136289,10,10,""
"all + glmnet_0","all","glmnet_0","GSE107499",0.965454545454545,24,24,""
"lasso + glmnet_0","lasso","glmnet_0","GSE107499",0.93969696969697,3,3,""
"enet_025 + glmnet_0","enet_025","glmnet_0","GSE107499",0.965454545454545,17,17,""
"enet_050 + glmnet_0","enet_050","glmnet_0","GSE107499",0.939090909090909,3,3,""
"enet_075 + glmnet_0","enet_075","glmnet_0","GSE107499",0.951212121212121,6,6,""
"univ_top5 + glmnet_0","univ_top5","glmnet_0","GSE107499",0.943636363636364,5,5,""
"univ_top10 + glmnet_0","univ_top10","glmnet_0","GSE107499",0.95,10,10,""
"rf_top5 + glmnet_0","rf_top5","glmnet_0","GSE107499",0.951212121212121,5,5,""
"rf_top10 + glmnet_0","rf_top10","glmnet_0","GSE107499",0.960909090909091,10,10,""
"all + glmnet_0.25","all","glmnet_0.25","GSE107499",0.961212121212121,24,20,""
"lasso + glmnet_0.25","lasso","glmnet_0.25","GSE107499",0.930606060606061,3,3,""
"enet_025 + glmnet_0.25","enet_025","glmnet_0.25","GSE107499",0.961515151515152,17,14,""
"enet_050 + glmnet_0.25","enet_050","glmnet_0.25","GSE107499",0.92969696969697,3,3,""
"enet_075 + glmnet_0.25","enet_075","glmnet_0.25","GSE107499",0.931515151515152,6,6,""
"univ_top5 + glmnet_0.25","univ_top5","glmnet_0.25","GSE107499",0.940606060606061,5,5,""
"univ_top10 + glmnet_0.25","univ_top10","glmnet_0.25","GSE107499",0.943030303030303,10,9,""
"rf_top5 + glmnet_0.25","rf_top5","glmnet_0.25","GSE107499",0.95030303030303,5,5,""
"rf_top10 + glmnet_0.25","rf_top10","glmnet_0.25","GSE107499",0.949393939393939,10,10,""
"all + glmnet_0.5","all","glmnet_0.5","GSE107499",0.95,24,8,""
"lasso + glmnet_0.5","lasso","glmnet_0.5","GSE107499",0.932727272727273,3,3,""
"enet_025 + glmnet_0.5","enet_025","glmnet_0.5","GSE107499",0.955757575757576,17,12,""
"enet_050 + glmnet_0.5","enet_050","glmnet_0.5","GSE107499",0.933636363636364,3,3,""
"enet_075 + glmnet_0.5","enet_075","glmnet_0.5","GSE107499",0.933333333333333,6,6,""
"univ_top5 + glmnet_0.5","univ_top5","glmnet_0.5","GSE107499",0.936666666666667,5,5,""
"univ_top10 + glmnet_0.5","univ_top10","glmnet_0.5","GSE107499",0.931515151515152,10,3,""
"rf_top5 + glmnet_0.5","rf_top5","glmnet_0.5","GSE107499",0.949090909090909,5,5,""
"rf_top10 + glmnet_0.5","rf_top10","glmnet_0.5","GSE107499",0.949090909090909,10,10,""
"all + glmnet_0.75","all","glmnet_0.75","GSE107499",0.958787878787879,24,10,""
"lasso + glmnet_0.75","lasso","glmnet_0.75","GSE107499",0.93,3,3,""
"enet_025 + glmnet_0.75","enet_025","glmnet_0.75","GSE107499",0.956060606060606,17,9,""
"enet_050 + glmnet_0.75","enet_050","glmnet_0.75","GSE107499",0.934242424242424,3,3,""
"enet_075 + glmnet_0.75","enet_075","glmnet_0.75","GSE107499",0.941212121212121,6,6,""
"univ_top5 + glmnet_0.75","univ_top5","glmnet_0.75","GSE107499",0.939090909090909,5,5,""
"univ_top10 + glmnet_0.75","univ_top10","glmnet_0.75","GSE107499",0.929393939393939,10,3,""
"rf_top5 + glmnet_0.75","rf_top5","glmnet_0.75","GSE107499",0.94,5,5,""
"rf_top10 + glmnet_0.75","rf_top10","glmnet_0.75","GSE107499",0.944242424242424,10,7,""
"all + glmnet_1","all","glmnet_1","GSE107499",0.948484848484848,24,11,""
"lasso + glmnet_1","lasso","glmnet_1","GSE107499",0.937575757575758,3,3,""
"enet_025 + glmnet_1","enet_025","glmnet_1","GSE107499",0.951212121212121,17,8,""
"enet_050 + glmnet_1","enet_050","glmnet_1","GSE107499",0.930606060606061,3,3,""
"enet_075 + glmnet_1","enet_075","glmnet_1","GSE107499",0.934242424242424,6,5,""
"univ_top5 + glmnet_1","univ_top5","glmnet_1","GSE107499",0.937878787878788,5,5,""
"univ_top10 + glmnet_1","univ_top10","glmnet_1","GSE107499",0.928787878787879,10,2,""
"rf_top5 + glmnet_1","rf_top5","glmnet_1","GSE107499",0.933333333333333,5,4,""
"rf_top10 + glmnet_1","rf_top10","glmnet_1","GSE107499",0.93969696969697,10,6,""
"all + svm_linear","all","svm_linear","GSE107499",0.967878787878788,24,24,""
"lasso + svm_linear","lasso","svm_linear","GSE107499",0.93,3,3,""
"enet_025 + svm_linear","enet_025","svm_linear","GSE107499",0.957878787878788,17,17,""
"enet_050 + svm_linear","enet_050","svm_linear","GSE107499",0.93,3,3,""
"enet_075 + svm_linear","enet_075","svm_linear","GSE107499",0.934848484848485,6,6,""
"univ_top5 + svm_linear","univ_top5","svm_linear","GSE107499",0.938484848484848,5,5,""
"univ_top10 + svm_linear","univ_top10","svm_linear","GSE107499",0.943030303030303,10,10,""
"rf_top5 + svm_linear","rf_top5","svm_linear","GSE107499",0.947575757575758,5,5,""
"rf_top10 + svm_linear","rf_top10","svm_linear","GSE107499",0.956666666666667,10,10,""
"all + svm_radial","all","svm_radial","GSE107499",0.944848484848485,24,24,""
"lasso + svm_radial","lasso","svm_radial","GSE107499",0.906666666666667,3,3,""
"enet_025 + svm_radial","enet_025","svm_radial","GSE107499",0.947575757575758,17,17,""
"enet_050 + svm_radial","enet_050","svm_radial","GSE107499",0.906666666666667,3,3,""
"enet_075 + svm_radial","enet_075","svm_radial","GSE107499",0.92969696969697,6,6,""
"univ_top5 + svm_radial","univ_top5","svm_radial","GSE107499",0.925151515151515,5,5,""
"univ_top10 + svm_radial","univ_top10","svm_radial","GSE107499",0.934545454545455,10,10,""
"rf_top5 + svm_radial","rf_top5","svm_radial","GSE107499",0.921212121212121,5,5,""
"rf_top10 + svm_radial","rf_top10","svm_radial","GSE107499",0.951818181818182,10,10,""
"all + rf","all","rf","GSE107499",0.955151515151515,24,24,""
"lasso + rf","lasso","rf","GSE107499",0.934848484848485,3,3,""
"enet_025 + rf","enet_025","rf","GSE107499",0.953636363636364,17,17,""
"enet_050 + rf","enet_050","rf","GSE107499",0.936666666666667,3,3,""
"enet_075 + rf","enet_075","rf","GSE107499",0.939393939393939,6,6,""
"univ_top5 + rf","univ_top5","rf","GSE107499",0.891212121212121,5,5,""
"univ_top10 + rf","univ_top10","rf","GSE107499",0.945454545454545,10,10,""
"rf_top5 + rf","rf_top5","rf","GSE107499",0.941212121212121,5,5,""
"rf_top10 + rf","rf_top10","rf","GSE107499",0.945454545454545,10,10,""
"all + gbm","all","gbm","GSE107499",0.950606060606061,24,24,""
"lasso + gbm","lasso","gbm","GSE107499",0.943787878787879,3,3,""
"enet_025 + gbm","enet_025","gbm","GSE107499",0.949090909090909,17,17,""
"enet_050 + gbm","enet_050","gbm","GSE107499",0.94,3,3,""
"enet_075 + gbm","enet_075","gbm","GSE107499",0.949393939393939,6,6,""
"univ_top5 + gbm","univ_top5","gbm","GSE107499",0.895,5,5,""
"univ_top10 + gbm","univ_top10","gbm","GSE107499",0.955151515151515,10,10,""
"rf_top5 + gbm","rf_top5","gbm","GSE107499",0.947272727272727,5,5,""
"rf_top10 + gbm","rf_top10","gbm","GSE107499",0.951212121212121,10,10,""
"all + lda","all","lda","GSE107499",0.944545454545455,24,24,""
"lasso + lda","lasso","lda","GSE107499",0.935757575757576,3,3,""
"enet_025 + lda","enet_025","lda","GSE107499",0.943333333333333,17,17,""
"enet_050 + lda","enet_050","lda","GSE107499",0.935757575757576,3,3,""
"enet_075 + lda","enet_075","lda","GSE107499",0.94,6,6,""
"univ_top5 + lda","univ_top5","lda","GSE107499",0.907272727272727,5,5,""
"univ_top10 + lda","univ_top10","lda","GSE107499",0.940909090909091,10,10,""
"rf_top5 + lda","rf_top5","lda","GSE107499",0.939393939393939,5,5,""
"rf_top10 + lda","rf_top10","lda","GSE107499",0.944848484848485,10,10,""
"all + naive_bayes","all","naive_bayes","GSE107499",0.946969696969697,24,24,""
"lasso + naive_bayes","lasso","naive_bayes","GSE107499",0.934848484848485,3,3,""
"enet_025 + naive_bayes","enet_025","naive_bayes","GSE107499",0.945151515151515,17,17,""
"enet_050 + naive_bayes","enet_050","naive_bayes","GSE107499",0.934848484848485,3,3,""
"enet_075 + naive_bayes","enet_075","naive_bayes","GSE107499",0.951818181818182,6,6,""
"univ_top5 + naive_bayes","univ_top5","naive_bayes","GSE107499",0.921212121212121,5,5,""
"univ_top10 + naive_bayes","univ_top10","naive_bayes","GSE107499",0.941515151515152,10,10,""
"rf_top5 + naive_bayes","rf_top5","naive_bayes","GSE107499",0.949393939393939,5,5,""
"rf_top10 + naive_bayes","rf_top10","naive_bayes","GSE107499",0.957878787878788,10,10,""
"all + glmboost","all","glmboost","GSE107499",0.941515151515152,24,8,""
"lasso + glmboost","lasso","glmboost","GSE107499",0.933333333333333,3,4,""
"enet_025 + glmboost","enet_025","glmboost","GSE107499",0.941515151515152,17,8,""
"enet_050 + glmboost","enet_050","glmboost","GSE107499",0.933333333333333,3,4,""
"enet_075 + glmboost","enet_075","glmboost","GSE107499",0.934545454545455,6,7,""
"univ_top5 + glmboost","univ_top5","glmboost","GSE107499",0.921515151515152,5,4,""
"univ_top10 + glmboost","univ_top10","glmboost","GSE107499",0.930606060606061,10,4,""
"rf_top5 + glmboost","rf_top5","glmboost","GSE107499",0.934545454545455,5,5,""
"rf_top10 + glmboost","rf_top10","glmboost","GSE107499",0.941515151515152,10,7,""
"all + xgboost","all","xgboost","GSE107499",0.951363636363636,24,24,""
"lasso + xgboost","lasso","xgboost","GSE107499",0.914090909090909,3,3,""
"enet_025 + xgboost","enet_025","xgboost","GSE107499",0.944848484848485,17,17,""
"enet_050 + xgboost","enet_050","xgboost","GSE107499",0.932727272727273,3,3,""
"enet_075 + xgboost","enet_075","xgboost","GSE107499",0.954848484848485,6,6,""
"univ_top5 + xgboost","univ_top5","xgboost","GSE107499",0.899848484848485,5,5,""
"univ_top10 + xgboost","univ_top10","xgboost","GSE107499",0.941666666666667,10,10,""
"rf_top5 + xgboost","rf_top5","xgboost","GSE107499",0.94530303030303,5,5,""
"rf_top10 + xgboost","rf_top10","xgboost","GSE107499",0.955,10,10,""
