ID	T_cells	CD8_T_cells	Cytotoxic_lymphocytes	B_lineage	NK_cells	Monocytic_lineage	Myeloid_dendritic_cells	Neutrophils	Endothelial_cells	Fibroblasts
1	GSM2869369_con	5.822114	5.22905	5.22583785714286	5.87623766666667	5.791812	6.27737957142857	4.9270006	6.79747023076923	6.18582415625	7.299477375
2	GSM2869370_con	5.915237	5.201548	5.04436914285714	6.23302366666667	5.66547028571429	5.79360914285714	4.7289814	6.70891453846154	6.34764265625	7.04779525
3	GSM2869371_con	6.99374985714286	5.621219	5.55766628571429	8.45420755555556	5.98974671428571	6.59494014285714	5.3705936	6.72219515384615	6.2793738125	7.6170995
4	GSM2869372_con	6.4134935	5.716593	5.84207771428571	6.12312333333333	6.03240871428571	6.60127614285714	5.267876	6.53023376923077	6.42297075	8.7675775
5	GSM2869373_con	6.32258357142857	5.73514	5.715462	6.41638022222222	5.76162871428571	6.70701842857143	5.1176316	6.69839715384615	6.33876690625	8.28238625
6	GSM2869374_con	6.72594171428571	5.828781	5.80678057142857	7.387881	6.042706	6.305507	5.3290226	6.64424623076923	6.23778965625	7.884266625
7	GSM2869375_con	6.08242492857143	5.610591	5.74555	6.24178822222222	5.89958971428571	6.62668957142857	5.036652	6.77010907692308	6.20401059375	7.090283125
8	GSM2869376_con	6.32240992857143	5.489763	5.59995242857143	6.95392533333333	5.96879285714286	6.26039142857143	5.2405714	6.49800253846154	6.11400946875	7.5714715
9	GSM2869377_con	6.91155528571429	5.608932	5.68109242857143	7.32062111111111	5.62748642857143	7.47748771428571	5.5481498	7.48924284615385	6.82224009375	8.721159625
10	GSM2869378_con	6.39767742857143	5.596159	5.71160942857143	6.83731711111111	6.02839657142857	6.27604057142857	5.2879944	6.52958176923077	6.13187809375	7.554567625
11	GSM2869379_con	6.07154235714286	5.588509	5.67948357142857	6.24954222222222	5.985667	6.75307828571429	5.0557324	6.72630569230769	6.19687990625	7.6141645
12	GSM2869380_con	6.24423464285714	5.695503	5.791109	6.27111466666667	5.90043328571429	6.60742671428571	5.1126246	6.78739815384615	6.16430571875	7.729013375
13	GSM2869381_con	6.4339995	5.711799	5.79701928571429	6.78098633333333	6.00495571428571	6.40962242857143	5.250283	6.52562969230769	6.15189753125	7.635792625
14	GSM2869382_con	6.30919178571429	5.688793	5.68721471428571	6.46579855555556	5.85046042857143	6.92938828571429	5.2242562	6.66731753846154	6.32913334375	8.254086375
15	GSM2869383_con	6.952934	5.740816	5.74257828571429	7.79431111111111	5.68355285714286	7.65723242857143	5.7715702	7.49146338461538	6.8187295625	8.951877625
16	GSM2869384_con	6.50913835714286	5.854254	5.87403814285714	7.10065477777778	5.89777457142857	6.80391871428571	5.1567826	6.83004130769231	6.251505375	7.88600975
17	GSM2869385_con	6.31283421428571	5.633413	5.70211428571429	6.37805322222222	6.02549171428571	6.78659971428571	5.2631956	6.69437453846154	6.3752028125	8.562960375
18	GSM2869386_con	6.53586414285714	5.701941	5.73988828571429	7.06787022222222	5.81895342857143	6.86139785714286	5.3355188	6.75221146153846	6.3396023125	8.440010875
19	GSM2869387_con	6.18126014285714	5.724458	5.62402571428571	6.12395011111111	5.77602442857143	7.04830728571429	5.0453894	6.744135	6.317639875	8.3891435
20	GSM2869388_con	7.7349785	6.134471	5.74872114285714	8.729626	6.05518885714286	6.97335185714286	5.8674094	6.70177684615385	6.53044284375	8.132815125
21	GSM2869389_con	5.94638771428571	5.243043	5.13458814285714	6.00042744444444	5.687269	6.22442528571429	4.8382308	6.70836923076923	6.362763125	7.790556
22	GSM2869390_con	5.92416814285714	5.2611	5.07867828571429	5.79445711111111	5.89155228571429	6.29068471428571	4.7887902	6.70513415384615	6.21163284375	7.809989125
23	GSM2869432_con	6.50515792857143	5.569188	5.594932	6.84889877777778	5.68638914285714	6.82358728571429	5.1406066	6.69936330769231	6.445605875	8.165817
24	GSM2869433_con	6.25265371428571	5.410591	5.48469885714286	6.02504833333333	5.72609428571429	6.86305528571429	5.0983334	6.65772476923077	6.32394128125	8.045325
25	GSM2869434_con	6.26404385714286	5.206201	5.16362914285714	6.46028622222222	5.41368785714286	6.29897271428571	5.3612534	6.64310692307692	6.50794634375	8.8559215
26	GSM2869435_con	6.12985092857143	5.642674	5.618167	6.29841611111111	6.09604314285714	6.37365828571429	4.8808904	6.83513715384615	6.39196896875	7.474856125
27	GSM2869436_con	6.2425205	5.437277	5.60852614285714	6.83062377777778	6.06839771428571	6.19637828571429	5.0223808	6.75007461538462	6.20208921875	7.5674595
28	GSM2869437_con	7.11343592857143	5.949859	5.80088057142857	7.90619655555556	6.02898857142857	7.58946071428571	5.7915352	6.68253738461538	6.3910391875	8.31674625
29	GSM2869438_con	6.32975235714286	5.236533	5.31746857142857	6.87125211111111	6.035553	7.08737642857143	5.2743414	6.66085584615385	6.3738193125	7.965525375
30	GSM2869439_con	6.64547264285714	5.693369	5.56980885714286	7.56413766666667	5.79554242857143	7.08848442857143	5.5442824	6.57693923076923	6.37310190625	8.18976275
31	GSM2869440_con	6.96610571428571	5.952147	5.80764085714286	7.82000144444444	5.91682057142857	7.23054928571429	5.5697086	6.62782984615385	6.41950546875	8.301882
32	GSM2869441_con	6.32342842857143	5.383313	5.59127757142857	6.09319155555556	6.22157185714286	6.85527185714286	5.1985212	6.71203546153846	6.2144020625	7.453958
33	GSM2869442_con	6.38091764285714	5.601541	5.67668571428571	6.42871488888889	5.728948	6.72034985714286	5.1752576	6.64594023076923	6.41765584375	7.7874705
34	GSM2869443_con	6.35825271428571	5.363067	5.54803242857143	6.14286366666667	5.777668	7.08893114285714	5.2050836	6.66819461538461	6.26778175	7.80045025
35	GSM2869444_con	6.73082514285714	5.867431	5.56906985714286	7.63092455555556	5.96135271428571	6.89588671428571	5.4966896	6.64341676923077	6.2557113125	7.638491625
36	GSM2869445_con	5.94099835714286	5.284668	5.07304557142857	5.85646033333333	5.43464285714286	6.50211128571429	5.1067302	6.63417146153846	6.3818895625	8.485161
37	GSM2869446_con	6.06072878571429	5.425032	5.49065957142857	6.07461044444444	5.787229	6.475126	5.0025344	6.62721869230769	6.394452625	8.08348325
38	GSM2869447_con	7.17210235714286	6.21493	6.03796285714286	7.68814522222222	5.71629857142857	6.81621914285714	5.4077236	6.61588669230769	6.27692546875	7.570543
39	GSM2869448_con	6.83572457142857	5.729551	5.22286457142857	8.41045922222222	5.47629571428571	6.96303342857143	5.5363928	6.59714115384615	6.3591418125	8.853676375
40	GSM2869449_con	6.18246407142857	5.558947	5.66637014285714	6.09219777777778	6.03687585714286	6.21158814285714	5.0070318	6.77977376923077	6.36305478125	8.08302375
41	GSM2869450_con	6.27511392857143	5.500511	5.72809485714286	6.74273111111111	6.14545514285714	6.45720371428571	5.1397072	6.78401038461538	6.3133526875	8.027173625
42	GSM2869451_con	6.36430578571429	5.590301	5.14420628571429	6.53910066666667	5.46019985714286	6.43592428571429	5.1847806	6.76071307692308	6.5910468125	9.09453825
43	GSM2869452_con	6.22926135714286	5.275321	5.405056	6.92986577777778	6.12638942857143	6.96925728571429	5.479398	6.70719823076923	6.304364375	7.589573625
44	GSM2869453_con	6.56769242857143	5.483884	5.44720128571429	7.23313677777778	6.03801714285714	6.81711057142857	5.356958	6.64451738461538	6.3304271875	7.658600375
45	GSM1900150_con	6.25802628571429	5.889332	5.64016471428571	6.28725344444444	6.02020971428571	5.97564857142857	5.2461354	6.49147830769231	6.23234271875	7.24034575
46	GSM1900151_con	6.39510921428571	5.114786	5.61568814285714	6.977121	6.19613114285714	6.51159814285714	5.0869862	6.42354030769231	6.279983	7.8910705
47	GSM1900152_con	6.16871971428571	5.747976	5.65856914285714	5.90834266666667	6.03103028571429	6.13651528571429	5.2399922	6.62557884615385	6.20019540625	7.164372
48	GSM1900153_con	6.1516455	5.488768	5.61911171428571	5.770261	6.39260342857143	5.90883785714286	4.9941688	6.59752084615385	6.1426895625	7.08728875
49	GSM1900159_con	6.43843135714286	6.01463	5.92017242857143	6.24322077777778	6.37651114285714	6.46411871428571	5.3941488	6.64810061538462	6.38226709375	7.788881125
50	GSM1900211_con	6.18398242857143	5.819192	5.75981842857143	5.92630766666667	6.23688485714286	5.87303985714286	5.1102028	6.54021830769231	6.18872403125	7.74548925
51	GSM1900221_con	6.62619557142857	5.714957	5.78338342857143	6.97369011111111	6.22558771428571	7.08629271428571	5.3870932	6.42614338461538	6.2304499375	7.923475
52	GSM1900222_con	6.27926464285714	5.660071	5.64805042857143	6.31625233333333	5.88754042857143	7.33876242857143	5.5263356	6.35433069230769	6.28739753125	8.106710375
53	GSM1900223_con	6.26779978571429	5.723736	5.74578714285714	6.12517877777778	6.23747971428571	6.509271	5.3159888	6.40653761538462	6.25903784375	7.77092425
54	GSM1900224_con	6.81073464285714	6.089285	5.95462228571429	7.55939611111111	6.57776585714286	7.49302957142857	5.882964	6.46899369230769	6.27976840625	7.88932
55	GSM1900225_con	6.69403314285714	5.536812	5.77120128571429	7.95649811111111	6.26339042857143	7.19463042857143	5.8326286	6.54651261538462	6.285425375	7.519325125
56	GSM1900226_con	6.38016285714286	5.583195	5.86396871428571	6.30610377777778	6.34532657142857	7.27896857142857	5.6473452	6.48534423076923	6.241140375	7.698727625
57	GSM1426079_con	6.18423464285714	5.694569	5.519815	6.39121244444444	5.87711771428571	6.07267857142857	5.2278848	6.52668561538462	6.27290125	7.43470325
58	GSM1426080_con	6.32128271428571	5.20117	5.45438857142857	7.10659344444444	5.95133871428571	6.55011071428571	5.0825212	6.43183761538462	6.323117375	8.083532375
59	GSM1426081_con	6.10165178571429	5.59331	5.527459	6.00281533333333	5.84934971428571	6.22520728571429	5.2511618	6.62575361538462	6.262071125	7.371608875
60	GSM1426082_con	6.07743328571429	5.464255	5.48322585714286	5.85891611111111	6.14662271428571	6.00947571428571	5.0164906	6.57536615384615	6.18927071875	7.2756895
61	GSM1426083_con	6.37142207142857	5.776446	5.77373885714286	6.32682322222222	6.14252042857143	6.50812542857143	5.3559224	6.658089	6.43821865625	7.982177625
62	GSM1426084_con	6.11235507142857	5.677045	5.58589071428571	6.03226288888889	6.00979028571429	5.99700571428571	5.1383008	6.54356592307692	6.24114621875	7.950596625
63	GSM1426085_con	6.21437564285714	5.55053	5.47538	6.40522933333333	5.75459885714286	7.274664	5.451128	6.40196307692308	6.34050053125	8.292200625
64	GSM1426086_con	6.20724342857143	5.571823	5.55005914285714	6.22775966666667	5.99072014285714	6.54483428571429	5.2795918	6.41225692307692	6.2964183125	7.952787
65	GSM1426087_con	6.75927607142857	5.800669	5.70723871428571	7.71199022222222	6.26038757142857	7.406567	5.8204772	6.497143	6.33547246875	8.0805265
66	GSM1426088_con	6.6334615	5.478795	5.59975857142857	8.13966044444444	6.02934757142857	7.158701	5.7536874	6.55278792307692	6.353483375	7.718980375
67	GSM1426089_con	6.32389264285714	5.46107	5.65256571428571	6.39444622222222	6.09673971428571	7.22116042857143	5.556027	6.48941	6.28242303125	7.89146325
68	GSM2332098_con	6.27043114285714	5.585142	5.54195428571429	6.38144911111111	5.74347714285714	6.64455314285714	5.1192778	6.561264	6.32461825	7.9570055
69	GSM2332099_con	6.90640671428571	6.295088	6.17469142857143	6.93146922222222	6.53878771428571	7.07050985714286	5.8058428	6.41320707692308	6.33174303125	7.89517725
70	GSM2332100_con	6.55871314285714	5.937523	6.168472	6.08235866666667	6.58602857142857	6.73166485714286	5.2072724	6.73901230769231	6.228109625	7.496605375
71	GSM2332101_con	6.29375607142857	5.449433	5.68494442857143	6.86244688888889	6.17834771428571	6.79577071428571	5.091588	6.45158023076923	6.2227024375	7.82436375
72	GSM2332102_con	5.93852285714286	5.562603	5.22913714285714	5.85605844444444	5.90032085714286	5.55572542857143	4.7635566	6.72874746153846	6.416261875	7.866910375
73	GSM2332103_con	6.03930892857143	5.836773	5.48550385714286	5.73756477777778	6.27500314285714	6.27487414285714	4.9961484	6.80475346153846	6.34933715625	7.597072375
74	GSM2332104_con	6.22382528571429	5.632622	5.22076557142857	5.73900188888889	6.03913042857143	6.44488771428571	5.2153372	6.87146661538462	6.39623603125	7.947856
75	GSM2332105_con	6.40077264285714	5.50965	5.30741442857143	7.22020377777778	5.98519542857143	6.17168442857143	5.1328968	6.742092	6.2574595625	7.68319175
76	GSM2332106_con	6.45468435714286	5.243766	5.36335971428571	6.65165611111111	5.87725628571429	6.376581	5.0906822	6.55385923076923	6.519113875	8.206356
77	GSM2332107_con	6.13355142857143	5.391995	5.252846	6.03153422222222	5.94575971428571	6.52697271428571	5.0589382	6.79002846153846	6.42289540625	7.927292
78	GSM2332108_con	6.96827228571429	6.011494	5.68783714285714	7.577684	5.89665714285714	7.19376957142857	5.6028386	6.52935261538462	6.2835776875	8.129977
79	GSM2332109_con	6.29742892857143	5.574509	5.26345371428571	6.51033622222222	6.044702	6.16254457142857	5.0868984	6.53471169230769	6.255207625	7.334030375
80	GSM2332110_con	6.47201292857143	5.691151	5.74093028571429	6.97289077777778	6.11596814285714	6.58522257142857	5.3192674	6.604588	6.37490828125	7.810210875
81	GSM2332111_con	6.87133871428571	5.923889	5.91097857142857	7.54491488888889	6.08154685714286	6.287646	5.4355342	6.457635	6.4238041875	7.72199925
82	GSM2332112_con	6.32454364285714	5.370852	5.39269571428571	5.84416544444444	5.782237	6.75589257142857	5.0344664	6.44463346153846	6.4564735625	8.097573875
83	GSM2332113_con	6.63433757142857	6.018372	5.87755271428571	6.66367566666667	5.90030628571429	6.89903642857143	5.4474878	6.50297746153846	6.30411225	7.5002835
84	GSM2332114_con	5.94241442857143	5.346588	5.49649257142857	6.00316655555556	6.11609471428571	6.77904814285714	5.2739388	6.51509615384615	6.30531209375	7.877708375
85	GSM2332115_con	6.09528264285714	5.244598	5.21645842857143	5.596135	5.97198842857143	6.20864042857143	4.8898116	6.74612869230769	6.40200590625	7.92204825
86	GSM2332116_con	6.47434964285714	5.562188	5.531704	7.01137844444444	6.08923828571429	6.91129585714286	5.5382722	6.60383707692308	6.291345875	7.617842875
87	GSM2332117_con	6.15437014285714	5.483542	5.62719242857143	6.60790555555556	6.15721371428571	6.35393385714286	5.0515628	6.75711492307692	6.179728875	7.430987
88	GSM2332118_con	6.27883928571429	6.472858	5.81701557142857	5.96064811111111	6.27606171428571	6.31994957142857	5.482896	6.35919646153846	6.24699203125	7.430781
89	GSM2869335_treat	7.05640242857143	5.676626	5.75150128571429	8.11081977777778	5.79262685714286	7.89257314285714	5.8971472	7.42684230769231	6.69028346875	8.597643625
90	GSM2869336_treat	7.31980942857143	6.212076	5.98777142857143	8.94503622222222	5.66363014285714	7.29955914285714	5.8500734	6.94772623076923	6.88710884375	9.2999505
91	GSM2869337_treat	7.05374385714286	6.43106	6.301264	6.55889866666667	5.763308	6.91125928571429	5.5945314	6.60066323076923	6.9732344375	9.524939125
92	GSM2869338_treat	7.60684242857143	6.157615	5.76937457142857	9.20343933333333	5.14067614285714	7.71773571428571	5.7676864	7.01098215384615	6.84409528125	9.483019625
93	GSM2869339_treat	7.35475421428571	5.857	5.85267571428571	7.87246655555556	5.82799471428571	7.77818128571429	5.9283362	7.29084876923077	6.689210875	8.696503
94	GSM2869340_treat	6.81859885714286	5.730588	5.854048	7.99911611111111	5.54309357142857	7.27879314285714	5.8457786	7.18459353846154	7.03800184375	9.316983625
95	GSM2869341_treat	6.39178814285714	5.142242	5.48627371428571	6.50854644444444	5.828488	7.03667014285714	5.187032	7.37812046153846	6.7181156875	8.046564375
96	GSM2869342_treat	7.65033407142857	6.645881	6.33344	8.38685433333333	5.75927871428571	7.20074785714286	6.01679	6.33260569230769	7.31105090625	9.952402875
97	GSM2869343_treat	7.34768185714286	6.019018	6.115694	8.48887022222222	5.87937114285714	7.29238342857143	5.8818082	6.82656615384615	6.833702375	8.958206375
98	GSM2869344_treat	6.40717835714286	5.439354	5.85233485714286	6.53912022222222	5.84581442857143	6.56021871428571	5.0929578	6.87377707692308	6.5417670625	8.04392125
99	GSM2869345_treat	6.39108107142857	5.61665	5.84355942857143	6.29408377777778	6.00139442857143	6.87560942857143	5.3713526	6.68239361538462	6.50317790625	8.008166375
100	GSM2869346_treat	7.00156821428571	5.742279	5.848035	7.42608366666667	5.814326	7.62660357142857	5.8961512	7.53822784615385	6.8431625	8.61501275
101	GSM2869347_treat	6.47378364285714	5.574229	5.84022114285714	6.64596777777778	5.93040542857143	6.62521871428571	5.3209252	6.85901592307692	6.671284625	8.40304525
102	GSM2869348_treat	7.47805114285714	6.263957	5.93311414285714	8.23038455555556	5.77457157142857	6.81896071428571	5.958448	6.73980461538462	6.55997978125	8.229161375
